Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.097777520098948,0.8393407564832602
original,AnnSel,fr,-10.578865182436612,1.2317212343098631
original,AnnSel,de,-12.416338126159555,1.2566732810041192
original,AnnSel,es,-11.540483920841064,1.3399154445392898
original,AnnSel,zh,-9.409640489718614,0.9222440044833139
original,AnnSel,ja,-9.759334415584416,0.8712358586017552
original,AnnSel,ko,-9.646614019142813,1.267459646867677
distractor ablation,AnnSel,en,-10.097777520098948,0.8393407564832602
distractor ablation,AnnSel,fr,-10.578865182436612,1.2317212343098631
distractor ablation,AnnSel,de,-12.416338126159555,1.2566732810041192
distractor ablation,AnnSel,es,-11.540483920841064,1.3399154445392898
distractor ablation,AnnSel,zh,-9.382334787608226,0.9544924106799507
distractor ablation,AnnSel,ja,-9.759334415584416,0.8712358586017552
distractor ablation,AnnSel,ko,-9.646614019142813,1.267459646867677
amplification,AnnSel,en,-10.097777520098948,0.8393407564832602
amplification,AnnSel,fr,-10.578865182436612,1.2317212343098631
amplification,AnnSel,de,-12.416338126159555,1.2566732810041192
amplification,AnnSel,es,-11.540483920841064,1.3399154445392898
amplification,AnnSel,zh,-9.029897186147187,0.585396037733778
amplification,AnnSel,ja,-9.759334415584416,0.8712358586017552
amplification,AnnSel,ko,-9.646614019142813,1.267459646867677
feature-intervention,AnnSel,en,-10.96572742733457,1.123358044483217
feature-intervention,AnnSel,fr,-12.155596784168212,1.106467235366305
feature-intervention,AnnSel,de,-13.484921923314781,1.240314737407611
feature-intervention,AnnSel,es,-12.363922387136672,1.2906944404027787
feature-intervention,AnnSel,zh,-9.028696563852813,0.58380848165316
feature-intervention,AnnSel,ja,-9.426795860389612,1.440536261291704
feature-intervention,AnnSel,ko,-11.413217274214373,1.7209180028654338
