Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.266268552875696,1.2614721131044095
original,AnnSel,fr,-13.069523036487324,1.7922310662725518
original,AnnSel,de,-11.274551638837353,0.9262990879937385
original,AnnSel,es,-12.439803648732221,1.0759952389924476
original,AnnSel,zh,-10.668518330627705,1.8876141413470633
original,AnnSel,ja,-11.045466382575757,1.3875522838245062
original,AnnSel,ko,-10.113335138742997,1.4904650396998198
distractor ablation,AnnSel,en,-11.266268552875696,1.2614721131044095
distractor ablation,AnnSel,fr,-13.526839826839828,1.6863913366102632
distractor ablation,AnnSel,de,-11.274551638837353,0.9262990879937385
distractor ablation,AnnSel,es,-12.439803648732221,1.0759952389924476
distractor ablation,AnnSel,zh,-10.668518330627705,1.8876141413470633
distractor ablation,AnnSel,ja,-11.045466382575757,1.3875522838245062
distractor ablation,AnnSel,ko,-10.113335138742997,1.4904650396998198
amplification,AnnSel,en,-11.266268552875696,1.2614721131044095
amplification,AnnSel,fr,-12.143433055040196,1.694720694004168
amplification,AnnSel,de,-11.274551638837353,0.9262990879937385
amplification,AnnSel,es,-12.439803648732221,1.0759952389924476
amplification,AnnSel,zh,-10.668518330627705,1.8876141413470633
amplification,AnnSel,ja,-11.045466382575757,1.3875522838245062
amplification,AnnSel,ko,-10.113335138742997,1.4904650396998198
feature-intervention,AnnSel,en,-11.266268552875696,1.2614721131044095
feature-intervention,AnnSel,fr,-13.069523036487324,1.7922310662725518
feature-intervention,AnnSel,de,-11.274551638837353,0.9262990879937385
feature-intervention,AnnSel,es,-12.439803648732221,1.0759952389924476
feature-intervention,AnnSel,zh,-10.668518330627705,1.8876141413470633
feature-intervention,AnnSel,ja,-11.045466382575757,1.3875522838245062
feature-intervention,AnnSel,ko,-10.113335138742997,1.4904650396998198
