Experiment,Method,Run,mean,stdev
original,AnnSel,en,-4.540625,3.061003486657322
original,AnnSel,fr,-4.48,3.900392122866778
original,AnnSel,de,-8.871875,5.041826122885347
original,AnnSel,es,0.0,0.0
original,AnnSel,zh,-11.255,3.239026735289351
original,AnnSel,ja,-13.284375,3.5526609101204665
original,AnnSel,ko,-14.37125,3.2066827217987792
distractor ablation,AnnSel,en,-4.540625,3.061003486657322
distractor ablation,AnnSel,fr,-4.48,3.900392122866778
distractor ablation,AnnSel,de,-8.871875,5.041826122885347
distractor ablation,AnnSel,es,0.0,0.0
distractor ablation,AnnSel,zh,-11.255,3.239026735289351
distractor ablation,AnnSel,ja,-13.284375,3.5526609101204665
distractor ablation,AnnSel,ko,-14.37125,3.2066827217987792
amplification,AnnSel,en,-4.540625,3.061003486657322
amplification,AnnSel,fr,-4.48,3.900392122866778
amplification,AnnSel,de,1.275625,2.7753664644502263
amplification,AnnSel,es,0.0,0.0
amplification,AnnSel,zh,-11.255,3.239026735289351
amplification,AnnSel,ja,-13.284375,3.5526609101204665
amplification,AnnSel,ko,-14.37125,3.2066827217987792
