Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.05536100803958,1.0495319709254707
original,AnnSel,fr,-10.929804421768708,1.4951348415254102
original,AnnSel,de,-13.029518398268397,1.4874737651012282
original,AnnSel,es,-12.300305349412493,1.2972354031817566
original,AnnSel,zh,-10.215909090909092,1.628359833761473
original,AnnSel,ja,-9.985558712121213,1.1457809373846592
original,AnnSel,ko,-10.18139237689705,1.337205245988012
distractor ablation,AnnSel,en,-11.05536100803958,1.0495319709254707
distractor ablation,AnnSel,fr,-10.929804421768708,1.4951348415254102
distractor ablation,AnnSel,de,-13.029518398268397,1.4874737651012282
distractor ablation,AnnSel,es,-12.300305349412493,1.2972354031817566
distractor ablation,AnnSel,zh,-10.215909090909092,1.628359833761473
distractor ablation,AnnSel,ja,-10.262464488636365,1.2098895561909124
distractor ablation,AnnSel,ko,-10.18139237689705,1.337205245988012
amplification,AnnSel,en,-11.05536100803958,1.0495319709254707
amplification,AnnSel,fr,-10.929804421768708,1.4951348415254102
amplification,AnnSel,de,-13.029518398268397,1.4874737651012282
amplification,AnnSel,es,-12.300305349412493,1.2972354031817566
amplification,AnnSel,zh,-10.215909090909092,1.628359833761473
amplification,AnnSel,ja,-9.934992221320346,0.5981545022733282
amplification,AnnSel,ko,-10.18139237689705,1.337205245988012
feature-intervention,AnnSel,en,-11.021625695732839,1.0332416225341476
feature-intervention,AnnSel,fr,-10.89437615955473,1.4425092382751354
feature-intervention,AnnSel,de,-12.978613945578232,1.4587223366478717
feature-intervention,AnnSel,es,-12.261085343228201,1.2815131050371875
feature-intervention,AnnSel,zh,-10.442716788419913,1.6590021594254827
feature-intervention,AnnSel,ja,-10.262236201298702,1.2119869942908708
feature-intervention,AnnSel,ko,-10.14886142933736,1.3924865653480702
