Experiment,Method,Run,mean,stdev
original,AnnSel,en,-2.309375,2.4895674844176643
original,AnnSel,fr,-6.245,4.093164957424373
original,AnnSel,de,-7.5,4.78102408359117
original,AnnSel,es,-5.5625,3.727775049299759
original,AnnSel,zh,-4.656875,2.9475434767528848
original,AnnSel,ja,-5.84375,3.0204153315814906
original,AnnSel,ko,0.0,0.0
distractor ablation,AnnSel,en,-2.309375,2.4895674844176643
distractor ablation,AnnSel,fr,-6.245,4.093164957424373
distractor ablation,AnnSel,de,-7.5,4.78102408359117
distractor ablation,AnnSel,es,-5.579375,3.714051760091856
distractor ablation,AnnSel,zh,-4.656875,2.9475434767528848
distractor ablation,AnnSel,ja,-5.84375,3.0204153315814906
distractor ablation,AnnSel,ko,0.0,0.0
amplification,AnnSel,en,-2.309375,2.4895674844176643
amplification,AnnSel,fr,-6.245,4.093164957424373
amplification,AnnSel,de,-7.5,4.78102408359117
amplification,AnnSel,es,-0.1234375,4.118955949982681
amplification,AnnSel,zh,-4.656875,2.9475434767528848
amplification,AnnSel,ja,-5.84375,3.0204153315814906
amplification,AnnSel,ko,0.0,0.0
feature-intervention,AnnSel,en,-2.305,2.488250166058246
feature-intervention,AnnSel,fr,-6.234375,4.090172602230297
feature-intervention,AnnSel,de,-7.4975,4.778043215553515
feature-intervention,AnnSel,es,-5.579375,3.714051760091856
feature-intervention,AnnSel,zh,-4.6625,2.946492521934882
feature-intervention,AnnSel,ja,-5.83625,3.022978339804851
feature-intervention,AnnSel,ko,0.0,0.0
