Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.600498608534323,1.1929270782124552
original,AnnSel,fr,-12.685799319727892,1.5673468449699004
original,AnnSel,de,-13.038122294372295,1.6449943764739101
original,AnnSel,es,-9.861577187693259,1.069657909431191
original,AnnSel,zh,-10.328395562770563,1.7821187164971226
original,AnnSel,ja,-10.711783008658008,1.300078503182516
original,AnnSel,ko,-10.531645600134585,1.8406679213568484
distractor ablation,AnnSel,en,-10.600498608534323,1.1929270782124552
distractor ablation,AnnSel,fr,-12.685799319727892,1.5673468449699004
distractor ablation,AnnSel,de,-13.038122294372295,1.6449943764739101
distractor ablation,AnnSel,es,-9.99230248917749,1.0140354218325325
distractor ablation,AnnSel,zh,-10.328395562770563,1.7821187164971226
distractor ablation,AnnSel,ja,-10.711783008658008,1.300078503182516
distractor ablation,AnnSel,ko,-10.531645600134585,1.8406679213568484
amplification,AnnSel,en,-10.600498608534323,1.1929270782124552
amplification,AnnSel,fr,-12.685799319727892,1.5673468449699004
amplification,AnnSel,de,-13.038122294372295,1.6449943764739101
amplification,AnnSel,es,-9.399648268398268,0.8516866701948878
amplification,AnnSel,zh,-10.328395562770563,1.7821187164971226
amplification,AnnSel,ja,-10.711783008658008,1.300078503182516
amplification,AnnSel,ko,-10.531645600134585,1.8406679213568484
feature-intervention,AnnSel,en,-10.900061842918985,1.2263576018596005
feature-intervention,AnnSel,fr,-13.592911255411256,1.5009914670822728
feature-intervention,AnnSel,de,-13.982614409400124,1.365861701662058
feature-intervention,AnnSel,es,-9.383022186147187,0.85100908832262
feature-intervention,AnnSel,zh,-10.793653612012987,1.7225899080340759
feature-intervention,AnnSel,ja,-11.184063852813852,1.0987302559935532
feature-intervention,AnnSel,ko,-11.068891321176908,2.030482567417932
