Experiment,Method,Run,mean,stdev
original,AnnSel,en,-1.116875,3.923578031280951
original,AnnSel,fr,-2.4684375,4.740249276808295
original,AnnSel,de,0.0,0.0
original,AnnSel,es,-2.925625,4.425009050595664
original,AnnSel,zh,-9.2928125,4.192753693524626
original,AnnSel,ja,-9.735625,4.078536288231256
original,AnnSel,ko,-11.064375,4.806295234317092
distractor ablation,AnnSel,en,-1.116875,3.923578031280951
distractor ablation,AnnSel,fr,-2.4684375,4.740249276808295
distractor ablation,AnnSel,de,0.00125,0.0125
distractor ablation,AnnSel,es,-2.925625,4.425009050595664
distractor ablation,AnnSel,zh,-9.2928125,4.192753693524626
distractor ablation,AnnSel,ja,-9.735625,4.078536288231256
distractor ablation,AnnSel,ko,-11.064375,4.806295234317092
amplification,AnnSel,en,-1.116875,3.923578031280951
amplification,AnnSel,fr,-2.4684375,4.740249276808295
amplification,AnnSel,de,0.0384375,0.2813676451479649
amplification,AnnSel,es,-2.925625,4.425009050595664
amplification,AnnSel,zh,-9.2928125,4.192753693524626
amplification,AnnSel,ja,-9.735625,4.078536288231256
amplification,AnnSel,ko,-11.064375,4.806295234317092
feature-intervention,AnnSel,en,-3.194375,3.302337481855187
feature-intervention,AnnSel,fr,-5.20875,4.139394364005147
feature-intervention,AnnSel,de,0.0384375,0.2813676451479649
feature-intervention,AnnSel,es,-5.1621875,3.784296280533188
feature-intervention,AnnSel,zh,-10.64,3.438359281949412
feature-intervention,AnnSel,ja,-10.9865625,3.4727453188674677
feature-intervention,AnnSel,ko,-12.894375,4.600035811441081
