Experiment,Method,Run,mean,stdev
original,AnnSel,en,0.0,0.0
original,AnnSel,fr,-6.40875,4.3519814728349875
original,AnnSel,de,-4.57875,3.280098342868532
original,AnnSel,es,-6.205625,3.602160448374466
original,AnnSel,zh,-8.6475,2.118426404030343
original,AnnSel,ja,-10.37875,2.68875235091398
original,AnnSel,ko,-12.786875,3.1763470334082538
distractor ablation,AnnSel,en,0.0,0.0
distractor ablation,AnnSel,fr,-6.40875,4.3519814728349875
distractor ablation,AnnSel,de,-5.226875,3.0312926946904746
distractor ablation,AnnSel,es,-6.205625,3.602160448374466
distractor ablation,AnnSel,zh,-8.6475,2.118426404030343
distractor ablation,AnnSel,ja,-10.37875,2.68875235091398
distractor ablation,AnnSel,ko,-12.786875,3.1763470334082538
amplification,AnnSel,en,0.0,0.0
amplification,AnnSel,fr,-6.40875,4.3519814728349875
amplification,AnnSel,de,-1.1,2.1841695426200527
amplification,AnnSel,es,-6.205625,3.602160448374466
amplification,AnnSel,zh,-8.6475,2.118426404030343
amplification,AnnSel,ja,-10.37875,2.68875235091398
amplification,AnnSel,ko,-12.786875,3.1763470334082538
feature-intervention,AnnSel,en,0.0,0.0
feature-intervention,AnnSel,fr,-6.36125,4.2510172208091745
feature-intervention,AnnSel,de,-5.226875,3.0312926946904746
feature-intervention,AnnSel,es,-6.191875,3.6119502897788243
feature-intervention,AnnSel,zh,-8.063125,1.9458721647867618
feature-intervention,AnnSel,ja,-9.985625,2.7566187423695045
feature-intervention,AnnSel,ko,-12.058125,3.2828474947233097
