Experiment,Method,Run,mean,stdev
original,AnnSel,en,-1.78125,3.0527829764847603
original,AnnSel,fr,-2.144375,3.619550229031198
original,AnnSel,de,-4.175,4.236023140335112
original,AnnSel,es,0.0,0.0
original,AnnSel,zh,-8.4615625,3.5031744459426806
original,AnnSel,ja,-10.2903125,3.7780393618470156
original,AnnSel,ko,-11.1325,3.380225098595021
distractor ablation,AnnSel,en,-1.78125,3.0527829764847603
distractor ablation,AnnSel,fr,-2.144375,3.619550229031198
distractor ablation,AnnSel,de,-4.175,4.236023140335112
distractor ablation,AnnSel,es,0.00875,0.06219623149453037
distractor ablation,AnnSel,zh,-8.4615625,3.5031744459426806
distractor ablation,AnnSel,ja,-10.2903125,3.7780393618470156
distractor ablation,AnnSel,ko,-11.1325,3.380225098595021
amplification,AnnSel,en,-1.78125,3.0527829764847603
amplification,AnnSel,fr,-2.144375,3.619550229031198
amplification,AnnSel,de,-4.175,4.236023140335112
amplification,AnnSel,es,0.03375,0.31324658292976115
amplification,AnnSel,zh,-8.4615625,3.5031744459426806
amplification,AnnSel,ja,-10.2903125,3.7780393618470156
amplification,AnnSel,ko,-11.1325,3.380225098595021
feature-intervention,AnnSel,en,-3.0321875,3.157780891233453
feature-intervention,AnnSel,fr,-3.093125,3.7138035815452035
feature-intervention,AnnSel,de,-6.2903125,4.365125253385774
feature-intervention,AnnSel,es,0.03375,0.31324658292976115
feature-intervention,AnnSel,zh,-9.735625,3.198527110821732
feature-intervention,AnnSel,ja,-11.6475,3.6258328022815682
feature-intervention,AnnSel,ko,-13.003125,3.51109100168252
