Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.660428262213978,1.1849526252789528
original,AnnSel,fr,-10.908457019171305,1.2365912138420194
original,AnnSel,de,-13.168205009276438,1.711851874332639
original,AnnSel,es,-11.558225108225107,0.9573486393242489
original,AnnSel,zh,-10.584660781926406,2.0609596966291965
original,AnnSel,ja,-10.811652800324676,1.5404672565583784
original,AnnSel,ko,-10.201148691898634,1.504472317968833
distractor ablation,AnnSel,en,-10.660428262213978,1.1849526252789528
distractor ablation,AnnSel,fr,-11.235586734693879,1.1765082331909833
distractor ablation,AnnSel,de,-13.168205009276438,1.711851874332639
distractor ablation,AnnSel,es,-11.558225108225107,0.9573486393242489
distractor ablation,AnnSel,zh,-10.584660781926406,2.0609596966291965
distractor ablation,AnnSel,ja,-10.811652800324676,1.5404672565583784
distractor ablation,AnnSel,ko,-10.201148691898634,1.504472317968833
amplification,AnnSel,en,-10.660428262213978,1.1849526252789528
amplification,AnnSel,fr,-10.499466604823748,1.216687128547629
amplification,AnnSel,de,-13.168205009276438,1.711851874332639
amplification,AnnSel,es,-11.558225108225107,0.9573486393242489
amplification,AnnSel,zh,-10.584660781926406,2.0609596966291965
amplification,AnnSel,ja,-10.811652800324676,1.5404672565583784
amplification,AnnSel,ko,-10.201148691898634,1.504472317968833
feature-intervention,AnnSel,en,-10.898863636363638,1.0785151527302046
feature-intervention,AnnSel,fr,-10.487840136054421,1.2017135237572563
feature-intervention,AnnSel,de,-13.862070964749536,1.2804956599378594
feature-intervention,AnnSel,es,-12.869016697588126,0.8516047692022964
feature-intervention,AnnSel,zh,-11.045441862824676,2.161766606709679
feature-intervention,AnnSel,ja,-11.009212662337662,1.2557296746221256
feature-intervention,AnnSel,ko,-11.306846067284336,1.996513543289057
