Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.837345392702534,0.5260031463219186
original,AnnSel,fr,-12.255333951762523,0.9507471519538321
original,AnnSel,de,-12.983801020408164,1.675597192768804
original,AnnSel,es,-10.277868931663575,1.3242627873770758
original,AnnSel,zh,-10.445071530032468,1.625080620894191
original,AnnSel,ja,-11.008366308170995,1.1101742975097937
original,AnnSel,ko,-9.661787820596988,1.2822845163668213
distractor ablation,AnnSel,en,-10.837345392702534,0.5260031463219186
distractor ablation,AnnSel,fr,-12.255333951762523,0.9507471519538321
distractor ablation,AnnSel,de,-12.983801020408164,1.675597192768804
distractor ablation,AnnSel,es,-10.385941365182436,1.3893191837825252
distractor ablation,AnnSel,zh,-10.445071530032468,1.625080620894191
distractor ablation,AnnSel,ja,-11.008366308170995,1.1101742975097937
distractor ablation,AnnSel,ko,-9.661787820596988,1.2822845163668213
amplification,AnnSel,en,-10.837345392702534,0.5260031463219186
amplification,AnnSel,fr,-12.255333951762523,0.9507471519538321
amplification,AnnSel,de,-12.983801020408164,1.675597192768804
amplification,AnnSel,es,-9.763710285250465,1.1829202766475406
amplification,AnnSel,zh,-10.445071530032468,1.625080620894191
amplification,AnnSel,ja,-11.008366308170995,1.1101742975097937
amplification,AnnSel,ko,-9.661787820596988,1.2822845163668213
feature-intervention,AnnSel,en,-11.228242888064317,0.5043927171665274
feature-intervention,AnnSel,fr,-13.382320655534942,1.0121955252954424
feature-intervention,AnnSel,de,-13.975054112554114,1.5172912673107457
feature-intervention,AnnSel,es,-9.76489254792826,1.1877273349956634
feature-intervention,AnnSel,zh,-10.72661323051948,1.6477162375470282
feature-intervention,AnnSel,ja,-11.39047619047619,0.9214328582239628
feature-intervention,AnnSel,ko,-10.16667544581309,1.5629553913376155
