Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.688566790352505,0.6263067145825824
original,AnnSel,fr,-11.865016233766235,0.8677269560391692
original,AnnSel,de,-12.064714749536178,1.3500573989647673
original,AnnSel,es,-11.023465522572666,0.8409725636472231
original,AnnSel,zh,-8.984070616883118,1.2391548283844434
original,AnnSel,ja,-9.858800054112553,0.996458133587591
original,AnnSel,ko,-9.94849232906053,2.637987369895687
distractor ablation,AnnSel,en,-9.759987631416204,0.6574187292286172
distractor ablation,AnnSel,fr,-12.391778756957327,0.8188103601328505
distractor ablation,AnnSel,de,-12.336893166357452,1.412584978582521
distractor ablation,AnnSel,es,-11.410756802721087,0.7966586188699063
distractor ablation,AnnSel,zh,-9.16112012987013,1.2177905952573616
distractor ablation,AnnSel,ja,-10.101322375541125,0.8699687050510047
distractor ablation,AnnSel,ko,-10.206412042356005,2.854411835765617
amplification,AnnSel,en,-9.685586734693876,0.6400468790300575
amplification,AnnSel,fr,-11.265744820655536,0.7432796202187708
amplification,AnnSel,de,-11.460022418058132,1.516108893271616
amplification,AnnSel,es,-10.344124922696352,0.8206328059083298
amplification,AnnSel,zh,-8.81655844155844,1.2184397183896605
amplification,AnnSel,ja,-11.432291666666668,1.1721758872984416
amplification,AnnSel,ko,-9.859328454282103,2.3150913325898355
feature-intervention,AnnSel,en,-12.192412646876932,1.025498818762667
feature-intervention,AnnSel,fr,-14.883503401360544,1.3642821959308475
feature-intervention,AnnSel,de,-14.14143475572047,2.370213446549217
feature-intervention,AnnSel,es,-14.004499072356214,1.715560884105231
feature-intervention,AnnSel,zh,-10.990851596320345,1.449035217258563
feature-intervention,AnnSel,ja,-11.128393871753246,1.045812195923236
feature-intervention,AnnSel,ko,-13.750461730102199,3.6737779201066
