Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.035919140383426,0.6859872434739737
original,AnnSel,fr,-10.795102813852813,1.4778896359386986
original,AnnSel,de,-13.374111008039579,1.3526452453034865
original,AnnSel,es,-10.294446699134198,1.2401462855463399
original,AnnSel,zh,-10.725497159090908,1.532418279409676
original,AnnSel,ja,-11.05859375,1.2525994293482834
original,AnnSel,ko,-10.537897284157804,1.773887502198485
distractor ablation,AnnSel,en,-11.031926406926406,0.6497644644407443
distractor ablation,AnnSel,fr,-11.432193104514534,1.3981888922293433
distractor ablation,AnnSel,de,-13.786545299938156,1.3657937650027674
distractor ablation,AnnSel,es,-10.343340290661718,1.2678836037112597
distractor ablation,AnnSel,zh,-10.841386803300866,1.7025866466544974
distractor ablation,AnnSel,ja,-11.223051948051948,1.267104472287224
distractor ablation,AnnSel,ko,-10.548796205493916,1.8251204687448515
amplification,AnnSel,en,-10.782884972170686,0.6080716232921843
amplification,AnnSel,fr,-10.577898886827459,1.1850366512843478
amplification,AnnSel,de,-12.014448051948051,1.3041118024867155
amplification,AnnSel,es,-9.579738713667284,1.0597903770973116
amplification,AnnSel,zh,-10.010188379329005,1.5490801039281092
amplification,AnnSel,ja,-10.807768533549785,0.5890407346876854
amplification,AnnSel,ko,-10.562672676492472,1.7218066217998218
feature-intervention,AnnSel,en,-11.468556740878169,0.7750052720122873
feature-intervention,AnnSel,fr,-12.366844465058751,1.5716290538871727
feature-intervention,AnnSel,de,-14.376267779839209,1.2746086466200108
feature-intervention,AnnSel,es,-9.696720392702534,1.081420518909233
feature-intervention,AnnSel,zh,-11.362782399891774,1.4379081150731194
feature-intervention,AnnSel,ja,-11.666289569805196,1.003585096245659
feature-intervention,AnnSel,ko,-11.259761461957831,2.0645054186160987
