Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.097777520098948,0.8393407564832602
original,AnnSel,fr,-10.578865182436612,1.2317212343098631
original,AnnSel,de,-12.416338126159555,1.2566732810041192
original,AnnSel,es,-11.540483920841064,1.3399154445392898
original,AnnSel,zh,-9.409640489718614,0.9222440044833139
original,AnnSel,ja,-9.759334415584416,0.8712358586017552
original,AnnSel,ko,-9.646614019142813,1.267459646867677
distractor ablation,AnnSel,en,-10.161282467532468,0.8951509539976809
distractor ablation,AnnSel,fr,-11.125069573283858,1.3286684409591047
distractor ablation,AnnSel,de,-12.707050092764378,1.2236101193414106
distractor ablation,AnnSel,es,-11.803470933828077,1.4087800401627084
distractor ablation,AnnSel,zh,-9.381015794101732,0.9588242063402843
distractor ablation,AnnSel,ja,-10.053767586580088,0.9775260844732375
distractor ablation,AnnSel,ko,-9.760820627078957,1.4804437752487687
amplification,AnnSel,en,-10.054429499072356,0.8105937736148787
amplification,AnnSel,fr,-10.375347866419295,0.9849164665306233
amplification,AnnSel,de,-11.82617501546073,1.3919536130156565
amplification,AnnSel,es,-10.44213048855906,1.5990791824782
amplification,AnnSel,zh,-9.009689529220779,0.589643823368967
amplification,AnnSel,ja,-10.525613839285715,0.9581748255294911
amplification,AnnSel,ko,-9.590318824062829,1.2579121105135374
feature-intervention,AnnSel,en,-10.925533395176254,1.0937445886993309
feature-intervention,AnnSel,fr,-12.691914038342608,1.1374719423753772
feature-intervention,AnnSel,de,-13.49835729746444,1.2443701783892902
feature-intervention,AnnSel,es,-12.279939703153989,1.3190180823234166
feature-intervention,AnnSel,zh,-9.03316930465368,0.5846978183178358
feature-intervention,AnnSel,ja,-9.445615192099567,1.4223740296221392
feature-intervention,AnnSel,ko,-11.407426833037903,1.716654219264131
