Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.146304885590599,0.9604938105642383
original,AnnSel,fr,-12.644631261595547,1.3087950635583263
original,AnnSel,de,-12.36601345083488,1.7125646385224014
original,AnnSel,es,-9.94519219619666,1.2714778477359554
original,AnnSel,zh,-10.629608022186147,1.715382653357741
original,AnnSel,ja,-10.832185132575757,1.3138628478966952
original,AnnSel,ko,-10.526339166037507,1.895741187824274
distractor ablation,AnnSel,en,-11.150552721088435,0.8924324457628393
distractor ablation,AnnSel,fr,-12.926569264069263,1.1677089423974494
distractor ablation,AnnSel,de,-12.962685528756959,1.5591428389795905
distractor ablation,AnnSel,es,-9.940451066790354,1.2417198816587112
distractor ablation,AnnSel,zh,-10.808678300865802,1.8878288441606108
distractor ablation,AnnSel,ja,-11.022745873917748,1.3237523231932042
distractor ablation,AnnSel,ko,-10.530426264744179,1.926132052120536
amplification,AnnSel,en,-10.856300247371676,0.8626493187784827
amplification,AnnSel,fr,-11.634280303030303,1.1662908467144617
amplification,AnnSel,de,-11.618413729128017,1.4486780723014985
amplification,AnnSel,es,-9.440872854823748,1.1145406051903095
amplification,AnnSel,zh,-10.116139069264069,1.641161743907271
amplification,AnnSel,ja,-10.71142620400433,0.7445365778809717
amplification,AnnSel,ko,-10.616469353854823,1.8396301529480044
feature-intervention,AnnSel,en,-11.6515731292517,1.0289165937429796
feature-intervention,AnnSel,fr,-13.831794990723562,1.305974968333983
feature-intervention,AnnSel,de,-13.710996444032158,1.3908375054616757
feature-intervention,AnnSel,es,-9.44394954004329,1.1217612534785528
feature-intervention,AnnSel,zh,-11.0625422754329,1.6043285682782853
feature-intervention,AnnSel,ja,-11.294316490800865,1.1092137766051238
feature-intervention,AnnSel,ko,-11.112801611122965,2.1158135572648873
