Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.8786951144094,1.0284380695052937
original,AnnSel,fr,-13.662959956709956,2.478238124531382
original,AnnSel,de,-13.859485157699442,2.3323669111501224
original,AnnSel,es,-12.676314162028447,1.7623712669784926
original,AnnSel,zh,-10.972132034632034,2.1203525302714867
original,AnnSel,ja,-11.273910984848484,1.6912175737077793
original,AnnSel,ko,-10.866086448006937,2.156825219756223
distractor ablation,AnnSel,en,-9.877504638218923,1.0282565483043957
distractor ablation,AnnSel,fr,-14.108379715522574,2.346328499053961
distractor ablation,AnnSel,de,-14.060810915275201,2.301987299532137
distractor ablation,AnnSel,es,-13.180094310451453,1.7099554591538602
distractor ablation,AnnSel,zh,-11.33501166801948,2.303014350776691
distractor ablation,AnnSel,ja,-11.47918695887446,1.7924431067169473
distractor ablation,AnnSel,ko,-10.878308430305717,2.1589452924451304
amplification,AnnSel,en,-9.616941094619666,1.104810308346477
amplification,AnnSel,fr,-12.786908627087199,2.5327623403435706
amplification,AnnSel,de,-13.201086116264689,2.545654034850694
amplification,AnnSel,es,-12.019237012987015,1.7006419313493957
amplification,AnnSel,zh,-10.549183238636363,1.9420328853195536
amplification,AnnSel,ja,-11.288311688311689,1.1288597517342553
amplification,AnnSel,ko,-10.871568849707852,2.0997114806922195
