Experiment,Method,Run,mean,stdev
original,AnnSel,en,-12.118320964749538,1.2369210741617889
original,AnnSel,fr,-11.69817563388992,1.3164309090778477
original,AnnSel,de,-12.374114873222016,1.0862356269660982
original,AnnSel,es,-13.38518475572047,1.7579789535566464
original,AnnSel,zh,-11.62773944805195,2.2282280053134738
original,AnnSel,ja,-11.660017586580086,1.7668550679102806
original,AnnSel,ko,-10.908339086366968,1.8413890425685828
distractor ablation,AnnSel,en,-12.15362554112554,1.234502605730884
distractor ablation,AnnSel,fr,-12.338245980210266,1.2782427571705988
distractor ablation,AnnSel,de,-12.261773345701917,1.3304772514055068
distractor ablation,AnnSel,es,-13.68413729128015,1.6722484588231936
distractor ablation,AnnSel,zh,-11.744474600919913,2.3500776741099165
distractor ablation,AnnSel,ja,-11.917392113095238,1.8380162271741673
distractor ablation,AnnSel,ko,-10.972625031457895,1.8687287400476154
amplification,AnnSel,en,-11.768962585034014,1.0973559728554774
amplification,AnnSel,fr,-11.406404607297464,1.0926208603822873
amplification,AnnSel,de,-11.542080241187383,1.1123534585137314
amplification,AnnSel,es,-11.852040816326532,1.3572902056924623
amplification,AnnSel,zh,-10.794482210497835,1.84315186207249
amplification,AnnSel,ja,-11.325052421536796,1.1862770381107184
amplification,AnnSel,ko,-10.884553643234637,1.8295286971163722
feature-intervention,AnnSel,en,-12.75659400123686,1.5564306972322177
feature-intervention,AnnSel,fr,-13.892470624613482,1.1954872771694254
feature-intervention,AnnSel,de,-11.561560760667904,1.1403961716131705
feature-intervention,AnnSel,es,-14.997928262213977,1.4193007396374715
feature-intervention,AnnSel,zh,-13.651999469443316,1.852766890353036
feature-intervention,AnnSel,ja,-13.43029034767316,1.451992609601766
feature-intervention,AnnSel,ko,-12.597915384415485,2.4004944020293912
