Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.91507807668522,1.5488525575770142
original,AnnSel,fr,-10.811715367965368,1.4746194584082304
original,AnnSel,de,-14.376345083487942,2.1508854172076677
original,AnnSel,es,-13.097116573902287,1.5399080872429187
original,AnnSel,zh,-11.637767180735931,2.1937470628901607
original,AnnSel,ja,-11.707125946969697,1.6722161186209772
original,AnnSel,ko,-11.240391249883743,2.608005835136505
distractor ablation,AnnSel,en,-11.910779993815709,1.50303471863573
distractor ablation,AnnSel,fr,-11.161317254174397,1.4522383206854692
distractor ablation,AnnSel,de,-14.76639996907854,2.264822120802087
distractor ablation,AnnSel,es,-13.222448979591837,1.4055696037830063
distractor ablation,AnnSel,zh,-11.72655827245671,2.3508867716097224
distractor ablation,AnnSel,ja,-11.856490124458874,1.7010421537805636
distractor ablation,AnnSel,ko,-11.552520427116159,2.7720569103343915
amplification,AnnSel,en,-11.692354669140384,1.4551902285545186
amplification,AnnSel,fr,-10.769167439703153,1.4850588135956901
amplification,AnnSel,de,-12.897441249226963,2.1290469759248536
amplification,AnnSel,es,-11.391825139146567,1.1034341630516926
amplification,AnnSel,zh,-10.779584347943723,1.9669461330414284
amplification,AnnSel,ja,-11.446601055194805,1.035652556185841
amplification,AnnSel,ko,-11.163988445720085,2.409714995279362
