Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.722646103896105,0.45705643067540985
original,AnnSel,fr,-12.825722789115646,1.58296170280191
original,AnnSel,de,-13.14974876314162,1.8529286643748677
original,AnnSel,es,-11.701692949907237,1.040768216229638
original,AnnSel,zh,-9.771272997835498,1.2960249497118903
original,AnnSel,ja,-10.361843885281386,1.0599337020774495
original,AnnSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,AnnSel,en,-9.712878787878788,0.45251481125360704
distractor ablation,AnnSel,fr,-13.268251391465679,1.4801237657494568
distractor ablation,AnnSel,de,-13.409291898577612,1.8880624753347734
distractor ablation,AnnSel,es,-12.218262987012988,1.0465257642373764
distractor ablation,AnnSel,zh,-10.176034902597403,1.498308057819141
distractor ablation,AnnSel,ja,-10.536346726190477,1.0707317020161211
distractor ablation,AnnSel,ko,-9.82997539103532,1.667635913334312
amplification,AnnSel,en,-9.60971706864564,0.5199247548222116
amplification,AnnSel,fr,-12.224833797155226,1.6578004684488834
amplification,AnnSel,de,-12.576202071737786,2.1577993904257577
amplification,AnnSel,es,-11.177176097711811,1.0367819561539926
amplification,AnnSel,zh,-9.490690949675324,1.2180619353562931
amplification,AnnSel,ja,-10.692846996753246,0.5200021095371542
amplification,AnnSel,ko,-9.967539666012888,1.5810450243682819
feature-intervention,AnnSel,en,-9.537646876932593,0.509706544277385
feature-intervention,AnnSel,fr,-12.742478354978356,1.7209115985200876
feature-intervention,AnnSel,de,-12.96004947433519,1.9483250590089687
feature-intervention,AnnSel,es,-11.55413961038961,1.0852904596502249
feature-intervention,AnnSel,zh,-10.10345643939394,1.4505333652621581
feature-intervention,AnnSel,ja,-10.531102881493506,1.0149656391330204
feature-intervention,AnnSel,ko,-9.779936521727832,1.634247335489858
