Experiment,Method,Run,mean,stdev
original,AnnSel,en,-12.277176097711813,1.7866696409088243
original,AnnSel,fr,-14.657683982683983,2.7613509578026902
original,AnnSel,de,-11.725417439703154,0.9906357083691779
original,AnnSel,es,-13.914865491651204,2.5453829447160534
original,AnnSel,zh,-12.064951975108226,2.584574454650868
original,AnnSel,ja,-12.053449675324675,2.033740447333106
original,AnnSel,ko,-11.220043077655868,2.2799572864497275
distractor ablation,AnnSel,en,-12.325653215831787,1.7802602984459048
distractor ablation,AnnSel,fr,-14.984036796536797,2.532193866756289
distractor ablation,AnnSel,de,-11.431624922696352,1.3842149509979003
distractor ablation,AnnSel,es,-14.282475262832406,2.439815080973068
distractor ablation,AnnSel,zh,-12.25685284767316,2.78948082020149
distractor ablation,AnnSel,ja,-12.259030032467532,2.011284509023235
distractor ablation,AnnSel,ko,-11.289236621162136,2.134762230319576
amplification,AnnSel,en,-11.970021645021646,1.7082848703143363
amplification,AnnSel,fr,-12.890425943104516,2.0949450192521013
amplification,AnnSel,de,-11.353327922077922,0.9162075900463319
amplification,AnnSel,es,-12.364123376623377,1.908699206928365
amplification,AnnSel,zh,-11.373317437770563,2.2117116708820648
amplification,AnnSel,ja,-11.762596387987013,1.3546574340505868
amplification,AnnSel,ko,-11.233152809463629,2.207064521199103
