Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.706566944959802,1.2199823447956513
original,AnnSel,fr,-11.22053957946815,0.9347466698595418
original,AnnSel,de,-12.127523964131106,1.5044089752958443
original,AnnSel,es,-12.275541125541126,1.608187257213355
original,AnnSel,zh,-11.10070853625541,2.220192012109139
original,AnnSel,ja,-11.08142417478355,1.7099543402902389
original,AnnSel,ko,-10.378325988598563,1.5768605091671493
distractor ablation,AnnSel,en,-11.702149041434755,1.170904820129907
distractor ablation,AnnSel,fr,-11.44141156462585,0.9704912883641363
distractor ablation,AnnSel,de,-12.807324520717378,1.3700588798214455
distractor ablation,AnnSel,es,-12.687662337662337,1.5256660711207062
distractor ablation,AnnSel,zh,-11.282543628246755,2.362944445728615
distractor ablation,AnnSel,ja,-11.25368979978355,1.7633692659364741
distractor ablation,AnnSel,ko,-10.50243244758841,1.6436005366576507
amplification,AnnSel,en,-11.391450216450215,1.1496614481572893
amplification,AnnSel,fr,-10.582854050711193,0.9699350536636647
amplification,AnnSel,de,-11.245810142238714,1.2529683460620713
amplification,AnnSel,es,-10.906563079777365,1.2089960810421767
amplification,AnnSel,zh,-10.285579004329005,1.8883801069334323
amplification,AnnSel,ja,-10.98813244047619,1.1058994921466043
amplification,AnnSel,ko,-10.408795388272496,1.5163093135077612
feature-intervention,AnnSel,en,-12.091133271490415,1.1533816944069522
feature-intervention,AnnSel,fr,-10.601604050711193,0.9490216291569137
feature-intervention,AnnSel,de,-13.182537105751392,1.1451632583634028
feature-intervention,AnnSel,es,-13.71764069264069,1.3986088460386266
feature-intervention,AnnSel,zh,-11.681665990259742,2.463807700032933
feature-intervention,AnnSel,ja,-11.373396915584417,1.3656887028806428
feature-intervention,AnnSel,ko,-11.671834395379246,1.9894715710244606
