Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.097777520098948,0.8393407564832602
original,AnnSel,fr,-10.578865182436612,1.2317212343098631
original,AnnSel,de,-12.416338126159555,1.2566732810041192
original,AnnSel,es,-11.540483920841064,1.3399154445392898
original,AnnSel,zh,-9.409640489718614,0.9222440044833139
original,AnnSel,ja,-9.759334415584416,0.8712358586017552
original,AnnSel,ko,-9.646614019142813,1.267459646867677
distractor ablation,AnnSel,en,-10.161282467532468,0.8951509539976809
distractor ablation,AnnSel,fr,-11.136216759431045,1.3590547427124977
distractor ablation,AnnSel,de,-12.707050092764378,1.2236101193414106
distractor ablation,AnnSel,es,-11.805094310451453,1.4071707983808586
distractor ablation,AnnSel,zh,-9.38281672754329,0.9571487648937235
distractor ablation,AnnSel,ja,-10.056689664502164,0.9795323719165479
distractor ablation,AnnSel,ko,-9.760820627078957,1.4804437752487687
amplification,AnnSel,en,-10.051511286332714,0.7814066932166877
amplification,AnnSel,fr,-10.379526128633271,0.9709615532253111
amplification,AnnSel,de,-11.822553339517626,1.4460839147318774
amplification,AnnSel,es,-10.438477891156463,1.5933292828187602
amplification,AnnSel,zh,-9.03318621482684,0.588927380265007
amplification,AnnSel,ja,-10.52505073051948,0.9493019361124131
amplification,AnnSel,ko,-9.590318824062829,1.2579121105135374
feature-intervention,AnnSel,en,-10.927226345083486,1.0669201448784615
feature-intervention,AnnSel,fr,-12.67588899196042,1.114159045840982
feature-intervention,AnnSel,de,-13.488485621521335,1.2434276918453513
feature-intervention,AnnSel,es,-12.25026283240569,1.3357663597491136
feature-intervention,AnnSel,zh,-9.029931006493507,0.584584622882819
feature-intervention,AnnSel,ja,-9.43919439935065,1.4266529554269722
feature-intervention,AnnSel,ko,-11.423076418067227,1.7210954788571455
