Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.660428262213978,1.1849526252789528
original,AnnSel,fr,-10.908457019171305,1.2365912138420194
original,AnnSel,de,-13.168205009276438,1.711851874332639
original,AnnSel,es,-11.558225108225107,0.9573486393242489
original,AnnSel,zh,-10.584660781926406,2.0609596966291965
original,AnnSel,ja,-10.811652800324676,1.5404672565583784
original,AnnSel,ko,-10.201148691898634,1.504472317968833
distractor ablation,AnnSel,en,-10.68275742115028,1.1529743908831882
distractor ablation,AnnSel,fr,-11.22714517625232,1.1828552935540158
distractor ablation,AnnSel,de,-13.60088899196042,1.5822367141236102
distractor ablation,AnnSel,es,-11.995029375386519,1.0163226832874899
distractor ablation,AnnSel,zh,-10.812406994047619,2.228257293393069
distractor ablation,AnnSel,ja,-11.000485321969697,1.6365183007002404
distractor ablation,AnnSel,ko,-10.201246989274225,1.5051624966015884
amplification,AnnSel,en,-10.327779066171924,1.1176189287574827
amplification,AnnSel,fr,-10.493185683364255,1.2033133320229723
amplification,AnnSel,de,-11.984508348794064,1.58346169933462
amplification,AnnSel,es,-10.51781462585034,0.913222202862831
amplification,AnnSel,zh,-9.941626082251082,1.7687225085779765
amplification,AnnSel,ja,-10.897531114718616,0.9654677828443481
amplification,AnnSel,ko,-10.222066739293373,1.4320746193602993
feature-intervention,AnnSel,en,-10.923944805194806,1.0592884010161188
feature-intervention,AnnSel,fr,-10.488837353123069,1.1761339241764437
feature-intervention,AnnSel,de,-13.884326685219543,1.3305022959380752
feature-intervention,AnnSel,es,-12.857738095238094,0.8821973453171665
feature-intervention,AnnSel,zh,-11.010873241341992,2.1612556865246666
feature-intervention,AnnSel,ja,-10.991416396103897,1.2454309426046988
feature-intervention,AnnSel,ko,-11.342243833568585,2.0070702601192068
