Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.894519171304884,1.2926621170991697
original,AnnSel,fr,-13.638292362399506,1.7711764156311707
original,AnnSel,de,-12.120272881880025,0.6611676988764635
original,AnnSel,es,-11.157854050711194,0.9868498034199533
original,AnnSel,zh,-11.393584280303031,2.197796956629635
original,AnnSel,ja,-11.548609983766232,1.7375027211505292
original,AnnSel,ko,-10.61676117285293,1.7945417044683971
distractor ablation,AnnSel,en,-11.95601035868893,1.2603622577428677
distractor ablation,AnnSel,fr,-13.897657699443414,1.675092450862667
distractor ablation,AnnSel,de,-12.071950371057513,0.8632027724237843
distractor ablation,AnnSel,es,-11.542478354978355,1.0682288897898096
distractor ablation,AnnSel,zh,-11.593589353354977,2.3220903276331133
distractor ablation,AnnSel,ja,-11.78102509469697,1.7966424783309318
distractor ablation,AnnSel,ko,-10.6268985823089,1.6874191782438692
amplification,AnnSel,en,-11.465530303030304,1.0848363170131905
amplification,AnnSel,fr,-12.34928107606679,1.473815006534689
amplification,AnnSel,de,-11.188725262832406,0.7931380781348458
amplification,AnnSel,es,-10.497961116264687,0.7382607594986695
amplification,AnnSel,zh,-10.757584212662337,1.8443031115846222
amplification,AnnSel,ja,-11.33940239448052,1.160252385331846
amplification,AnnSel,ko,-10.661188415185409,1.7629004961241035
feature-intervention,AnnSel,en,-12.607560296846012,1.413211522155919
feature-intervention,AnnSel,fr,-15.131617192331477,1.5361050599190658
feature-intervention,AnnSel,de,-11.221038188002472,0.8183720845459359
feature-intervention,AnnSel,es,-13.50722016079159,0.7848227189410547
feature-intervention,AnnSel,zh,-13.2055265088102,1.969505819995732
feature-intervention,AnnSel,ja,-13.215001384520429,1.4640631780254436
feature-intervention,AnnSel,ko,-12.286647986831452,2.17655840665644
