Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.837345392702534,0.5260031463219186
original,AnnSel,fr,-12.255333951762523,0.9507471519538321
original,AnnSel,de,-12.983801020408164,1.675597192768804
original,AnnSel,es,-10.277868931663575,1.3242627873770758
original,AnnSel,zh,-10.445071530032468,1.625080620894191
original,AnnSel,ja,-11.008366308170995,1.1101742975097937
original,AnnSel,ko,-9.661787820596988,1.2822845163668213
distractor ablation,AnnSel,en,-10.804182127396414,0.5055966850427772
distractor ablation,AnnSel,fr,-12.578030303030303,0.9154877008095954
distractor ablation,AnnSel,de,-13.382100340136054,1.5672901105778394
distractor ablation,AnnSel,es,-10.379981253865182,1.3890794284045869
distractor ablation,AnnSel,zh,-10.624530742694805,1.803171825013662
distractor ablation,AnnSel,ja,-11.284036796536796,1.1308820971018827
distractor ablation,AnnSel,ko,-9.540430687655922,1.2619804634213547
amplification,AnnSel,en,-10.441403834260978,0.5258078232144896
amplification,AnnSel,fr,-11.557598948670377,0.8543226541617296
amplification,AnnSel,de,-11.977987786023501,1.654872749343725
amplification,AnnSel,es,-9.782347711811997,1.2041162660420464
amplification,AnnSel,zh,-9.412667410714286,1.4745804747116495
amplification,AnnSel,ja,-10.37799310064935,0.5807974875372186
amplification,AnnSel,ko,-9.661180029262681,1.2910227102524952
feature-intervention,AnnSel,en,-11.209581787260358,0.5060048323075188
feature-intervention,AnnSel,fr,-13.384910327767471,0.9911018340661594
feature-intervention,AnnSel,de,-13.979035250463822,1.535122870741911
feature-intervention,AnnSel,es,-9.769708565244278,1.1914980049055555
feature-intervention,AnnSel,zh,-10.73240919237013,1.6446119318672214
feature-intervention,AnnSel,ja,-11.389512310606062,0.931957430914278
feature-intervention,AnnSel,ko,-10.115373712961746,1.5760138704359827
