Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.08148964131107,0.8070650329507352
original,AnnSel,fr,-12.72777133580705,1.7049896851973263
original,AnnSel,de,-13.630480828695115,1.8211112034880235
original,AnnSel,es,-10.167491883116883,0.7561768861882084
original,AnnSel,zh,-10.581464759199134,1.6659393726856222
original,AnnSel,ja,-10.775580018939394,1.084762781095641
original,AnnSel,ko,-10.257373243486848,1.8012197751036167
distractor ablation,AnnSel,en,-10.084655225726653,0.8085991687449386
distractor ablation,AnnSel,fr,-13.036765615337044,1.562393869216933
distractor ablation,AnnSel,de,-13.955098175633891,1.7250697375107316
distractor ablation,AnnSel,es,-10.69650974025974,0.7960442953974458
distractor ablation,AnnSel,zh,-10.836829511634198,1.782798853770727
distractor ablation,AnnSel,ja,-10.929228388798702,1.0892953229929163
distractor ablation,AnnSel,ko,-10.342746578611912,1.8411532938903168
amplification,AnnSel,en,-9.898817254174398,0.8385923989018281
amplification,AnnSel,fr,-11.904576376004949,1.9047057796101834
amplification,AnnSel,de,-12.791972016079159,1.9487556392546175
amplification,AnnSel,es,-9.851136363636362,0.6208324570438963
amplification,AnnSel,zh,-10.268043154761903,1.6166438903113387
amplification,AnnSel,ja,-10.692483428030304,0.550500253856733
amplification,AnnSel,ko,-10.284520721435547,1.7798483576898945
feature-intervention,AnnSel,en,-9.757397959183674,0.8165989191627867
feature-intervention,AnnSel,fr,-12.376124768089054,1.8715402751064896
feature-intervention,AnnSel,de,-13.280183209647495,1.9618880506532892
feature-intervention,AnnSel,es,-10.391450216450215,0.6713517600326827
feature-intervention,AnnSel,zh,-10.44033245400433,1.6711984220021248
feature-intervention,AnnSel,ja,-10.615234375,1.157064309588624
feature-intervention,AnnSel,ko,-10.08620217801476,1.6746319220616663
