Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.970176252319108,1.0958486518579265
original,AnnSel,fr,-13.097928262213978,1.7044907546693724
original,AnnSel,de,-11.19538110698825,0.6370035419752399
original,AnnSel,es,-12.497963048855906,1.2870076085764446
original,AnnSel,zh,-11.16400331439394,2.1866397331579335
original,AnnSel,ja,-11.30720542478355,1.5825252730327015
original,AnnSel,ko,-10.504827120057007,1.6866420614375086
distractor ablation,AnnSel,en,-11.026774118738404,1.0917535601694655
distractor ablation,AnnSel,fr,-13.523260667903525,1.5058860627483244
distractor ablation,AnnSel,de,-11.035439857761286,0.608439282176913
distractor ablation,AnnSel,es,-13.011641929499072,1.3530897754068019
distractor ablation,AnnSel,zh,-11.419718952922079,2.370209060848369
distractor ablation,AnnSel,ja,-11.57641369047619,1.6280222248316738
distractor ablation,AnnSel,ko,-10.330886601466759,1.6195916409199123
amplification,AnnSel,en,-10.618460111317253,0.8880735253425389
amplification,AnnSel,fr,-11.944453463203462,1.480168129899148
amplification,AnnSel,de,-10.664660636982065,0.6310769712822919
amplification,AnnSel,es,-11.36164579468151,1.0155879631414315
amplification,AnnSel,zh,-10.554983428030303,1.9240746105979216
amplification,AnnSel,ja,-11.210807291666667,1.2239870088433134
amplification,AnnSel,ko,-10.549958955139672,1.6382030579689384
feature-intervention,AnnSel,en,-11.730453772418059,0.9007617126225438
feature-intervention,AnnSel,fr,-15.115275200989487,1.4950854519070373
feature-intervention,AnnSel,de,-10.696502009894868,0.6396583371126755
feature-intervention,AnnSel,es,-14.460783858998145,1.0947009560053989
feature-intervention,AnnSel,zh,-12.907638483749324,1.9179048353698007
feature-intervention,AnnSel,ja,-12.8589581642316,1.2100120503879674
feature-intervention,AnnSel,ko,-11.935410956374737,2.187135989173401
