Experiment,Method,Run,mean,stdev
original,AnnSel,en,0.0,0.0
original,AnnSel,fr,-5.72875,4.084378924572859
original,AnnSel,de,-7.634375,3.971830805351404
original,AnnSel,es,-4.1425,3.028798016415493
original,AnnSel,zh,-9.02875,1.9822726823960768
original,AnnSel,ja,-11.136875,2.624138491986706
original,AnnSel,ko,-13.058125,2.8852509251161913
distractor ablation,AnnSel,en,0.0,0.0
distractor ablation,AnnSel,fr,-5.7625,4.108639502390793
distractor ablation,AnnSel,de,-7.634375,3.971830805351404
distractor ablation,AnnSel,es,-4.736875,3.0675179849110137
distractor ablation,AnnSel,zh,-9.0025,1.9811078996614522
distractor ablation,AnnSel,ja,-11.0675,2.64717783782097
distractor ablation,AnnSel,ko,-13.058125,2.8852509251161913
amplification,AnnSel,en,0.00125,0.0125
amplification,AnnSel,fr,-2.720625,2.8961733368090097
amplification,AnnSel,de,-1.26875,2.375573096723986
amplification,AnnSel,es,-2.69125,2.5187243870417397
amplification,AnnSel,zh,-1.84,1.7648477271424863
amplification,AnnSel,ja,-1.905625,2.6951675182423984
amplification,AnnSel,ko,-12.78375,2.8103796721288656
feature-intervention,AnnSel,en,0.005,0.03517632353407242
feature-intervention,AnnSel,fr,-5.945,4.0937779993645
feature-intervention,AnnSel,de,-7.655625,3.8853975748982563
feature-intervention,AnnSel,es,-4.94125,3.178516753141314
feature-intervention,AnnSel,zh,-9.005625,1.936126814621909
feature-intervention,AnnSel,ja,-11.213125,2.61999123810606
feature-intervention,AnnSel,ko,-12.855,2.8240416940794253
