Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.688566790352505,0.6263067145825824
original,AnnSel,fr,-11.865016233766235,0.8677269560391692
original,AnnSel,de,-12.064714749536178,1.3500573989647673
original,AnnSel,es,-11.023465522572666,0.8409725636472231
original,AnnSel,zh,-8.984070616883118,1.2391548283844434
original,AnnSel,ja,-9.858800054112553,0.996458133587591
original,AnnSel,ko,-9.94849232906053,2.637987369895687
distractor ablation,AnnSel,en,-9.759987631416204,0.6574187292286172
distractor ablation,AnnSel,fr,-12.399787414965987,0.8215403814928981
distractor ablation,AnnSel,de,-12.339444186765617,1.407480136519387
distractor ablation,AnnSel,es,-11.4099451144094,0.7970753691859979
distractor ablation,AnnSel,zh,-9.160333806818182,1.2137229340638969
distractor ablation,AnnSel,ja,-10.09980553300866,0.8681190690325008
distractor ablation,AnnSel,ko,-10.206412042356005,2.854411835765617
amplification,AnnSel,en,-9.696378324056894,0.6534112060060525
amplification,AnnSel,fr,-11.282454004329006,0.735052422583871
amplification,AnnSel,de,-11.459403988868274,1.5271833180950631
amplification,AnnSel,es,-10.34629329004329,0.8185722539908846
amplification,AnnSel,zh,-8.819864380411255,1.2218746840427288
amplification,AnnSel,ja,-11.4436654491342,1.167121479596212
amplification,AnnSel,ko,-9.859328454282103,2.3150913325898355
feature-intervention,AnnSel,en,-12.182077149041435,1.023021129184112
feature-intervention,AnnSel,fr,-14.880380333951763,1.3761004274525275
feature-intervention,AnnSel,de,-14.14891774891775,2.365606043507792
feature-intervention,AnnSel,es,-13.99795918367347,1.7216129391332156
feature-intervention,AnnSel,zh,-10.990445752164502,1.4498871579637385
feature-intervention,AnnSel,ja,-11.12930533008658,1.0384174956122452
feature-intervention,AnnSel,ko,-13.744416668034402,3.6891265617518862
