Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.274775819418677,1.143049227532586
original,AnnSel,fr,-13.579970624613482,1.2510157969899545
original,AnnSel,de,-13.372792980828695,1.2956479475965357
original,AnnSel,es,-13.256760204081631,1.0659062479254113
original,AnnSel,zh,-11.924305837391774,2.3198451105006876
original,AnnSel,ja,-12.23880800189394,1.5359934203278554
original,AnnSel,ko,-9.748428921739594,1.7766484098221356
distractor ablation,AnnSel,en,-11.254966759431044,1.1365208490698402
distractor ablation,AnnSel,fr,-13.85532622139765,1.2665866888694979
distractor ablation,AnnSel,de,-13.668707482993197,1.3959266923606255
distractor ablation,AnnSel,es,-13.604128014842301,1.1516373774875421
distractor ablation,AnnSel,zh,-11.983001048430737,2.3582265906620674
distractor ablation,AnnSel,ja,-12.472369622564935,1.301638506988142
distractor ablation,AnnSel,ko,-9.717669085761745,1.9378121497072751
amplification,AnnSel,en,-10.786317254174397,1.0556057464124942
amplification,AnnSel,fr,-12.676190476190476,1.258408557091395
amplification,AnnSel,de,-12.467930581323438,1.4923574252425693
amplification,AnnSel,es,-12.221668212739642,1.194632455154617
amplification,AnnSel,zh,-10.507212188852815,1.6892687460667044
amplification,AnnSel,ja,-11.443262987012986,0.36985503678402126
amplification,AnnSel,ko,-9.741723803779324,1.8057555848594988
feature-intervention,AnnSel,en,-11.472522418058132,1.1051758972623127
feature-intervention,AnnSel,fr,-13.919584879406306,1.214697908562271
feature-intervention,AnnSel,de,-13.90079622758194,1.4968914209735704
feature-intervention,AnnSel,es,-13.604692331478047,1.0532876569146061
feature-intervention,AnnSel,zh,-12.8086360254329,2.2448488735704175
feature-intervention,AnnSel,ja,-13.036355181277056,1.2338739901823719
feature-intervention,AnnSel,ko,-9.79062464524384,1.8585840857609623
