Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.326240723562153,0.92851374514487
original,AnnSel,fr,-10.73031462585034,1.5018245374452173
original,AnnSel,de,-13.558936301793446,1.8835105847642124
original,AnnSel,es,-12.106632653061224,1.1091504550664615
original,AnnSel,zh,-10.871575689935066,1.8762314982661643
original,AnnSel,ja,-11.011598687770562,1.400476644899464
original,AnnSel,ko,-10.270548618006773,1.793820070740496
distractor ablation,AnnSel,en,-10.329120284477426,0.932506974012269
distractor ablation,AnnSel,fr,-11.384972170686456,1.2606884941200853
distractor ablation,AnnSel,de,-13.93471706864564,2.0057214776656167
distractor ablation,AnnSel,es,-12.461545299938157,0.9264387094427827
distractor ablation,AnnSel,zh,-11.046109814664502,2.0020510342060653
distractor ablation,AnnSel,ja,-11.169180363906927,1.4391982351892119
distractor ablation,AnnSel,ko,-10.376099466275766,1.9164793157945899
amplification,AnnSel,en,-10.123113790970933,1.0120211082656345
amplification,AnnSel,fr,-10.725900587507729,1.4857364008004754
amplification,AnnSel,de,-12.881447124304268,2.022747056158733
amplification,AnnSel,es,-10.974599953617812,0.7813815680811033
amplification,AnnSel,zh,-10.377511160714286,1.7567533217905176
amplification,AnnSel,ja,-11.000901312229436,0.8711071760355504
amplification,AnnSel,ko,-10.254803650586211,1.746749763964
feature-intervention,AnnSel,en,-10.052071737786024,0.9216659275734903
feature-intervention,AnnSel,fr,-11.202199288806431,1.3061747984249035
feature-intervention,AnnSel,de,-13.339250927643786,2.037082365440405
feature-intervention,AnnSel,es,-11.646745516388375,1.1557378485311638
feature-intervention,AnnSel,zh,-10.768711106601732,1.9494083933847803
feature-intervention,AnnSel,ja,-10.89568114177489,1.517387190631156
feature-intervention,AnnSel,ko,-10.177468307879792,1.7418463748643445
