Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.146304885590599,0.9604938105642383
original,AnnSel,fr,-12.644631261595547,1.3087950635583263
original,AnnSel,de,-12.36601345083488,1.7125646385224014
original,AnnSel,es,-9.94519219619666,1.2714778477359554
original,AnnSel,zh,-10.629608022186147,1.715382653357741
original,AnnSel,ja,-10.832185132575757,1.3138628478966952
original,AnnSel,ko,-10.526339166037507,1.895741187824274
distractor ablation,AnnSel,en,-11.150552721088435,0.8924324457628393
distractor ablation,AnnSel,fr,-12.926569264069263,1.1677089423974494
distractor ablation,AnnSel,de,-12.962685528756959,1.5591428389795905
distractor ablation,AnnSel,es,-9.941803880643166,1.2411938863560898
distractor ablation,AnnSel,zh,-10.805735930735931,1.8879482945416788
distractor ablation,AnnSel,ja,-11.023146645021644,1.3248711154891912
distractor ablation,AnnSel,ko,-10.530426264744179,1.926132052120536
amplification,AnnSel,en,-10.875510204081634,0.860401030874511
amplification,AnnSel,fr,-11.639297309833024,1.1654382244182744
amplification,AnnSel,de,-11.574945887445889,1.410234215434692
amplification,AnnSel,es,-9.432894635126777,1.1075424068726845
amplification,AnnSel,zh,-10.109620197510823,1.628880029814454
amplification,AnnSel,ja,-10.718049918831168,0.741909046207578
amplification,AnnSel,ko,-10.616469353854823,1.8396301529480044
feature-intervention,AnnSel,en,-11.658549783549784,1.0437026500320048
feature-intervention,AnnSel,fr,-13.829120284477426,1.307433365260881
feature-intervention,AnnSel,de,-13.714134972170687,1.3986127180137973
feature-intervention,AnnSel,es,-9.441568587662337,1.1170504539375083
feature-intervention,AnnSel,zh,-11.054679044913419,1.597197064886622
feature-intervention,AnnSel,ja,-11.287837357954546,1.1072169490827803
feature-intervention,AnnSel,ko,-11.117740389612877,2.127408753353567
