Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.241048237476809,1.2847993874739714
original,AnnSel,fr,-11.83224335188621,1.107997016687244
original,AnnSel,de,-11.829510667903524,1.2220689635583144
original,AnnSel,es,-12.140916821273963,1.1746070784141311
original,AnnSel,zh,-9.972935267857142,1.2292950297259648
original,AnnSel,ja,-9.42622260551948,0.9246488315246968
original,AnnSel,ko,-10.56500343301383,2.625066474473728
distractor ablation,AnnSel,en,-10.380476963512677,1.3384464706977532
distractor ablation,AnnSel,fr,-12.308688930117501,1.0687352948338953
distractor ablation,AnnSel,de,-12.088477891156462,1.2987856167039487
distractor ablation,AnnSel,es,-12.456555349412493,1.239656108312058
distractor ablation,AnnSel,zh,-10.075685707521645,1.368871407585064
distractor ablation,AnnSel,ja,-9.722454173430735,0.7651333487548359
distractor ablation,AnnSel,ko,-10.705280712138372,2.5646697210582694
amplification,AnnSel,en,-10.159442640692642,1.3503541169835918
amplification,AnnSel,fr,-11.355706941867656,1.1045640065481552
amplification,AnnSel,de,-11.153892238713667,1.4673763703036817
amplification,AnnSel,es,-11.212175324675325,1.11877960257409
amplification,AnnSel,zh,-9.712983630952381,1.3056766925770187
amplification,AnnSel,ja,-10.676540516774892,0.7888258700860877
amplification,AnnSel,ko,-10.514830679586288,2.474617377316725
