Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.439838435374151,1.0489635501834338
original,AnnSel,fr,-13.41502009894867,1.3479978683916842
original,AnnSel,de,-11.741944959802101,0.9051865396750007
original,AnnSel,es,-12.905125231910946,1.098788952027622
original,AnnSel,zh,-11.425045657467532,2.168674346876069
original,AnnSel,ja,-11.709593141233766,1.6859268406987835
original,AnnSel,ko,-9.635309376436123,1.2679328607494804
distractor ablation,AnnSel,en,-11.462364718614719,1.047021587808968
distractor ablation,AnnSel,fr,-13.752218614718615,1.2925330048217336
distractor ablation,AnnSel,de,-11.597031539888684,1.026761158336986
distractor ablation,AnnSel,es,-13.422534013605443,1.1416976192782715
distractor ablation,AnnSel,zh,-11.628196022727272,2.264605010240361
distractor ablation,AnnSel,ja,-12.037216754599568,1.611880883071376
distractor ablation,AnnSel,ko,-9.498098690770252,1.2241944478136382
amplification,AnnSel,en,-11.136788806431664,0.9449447513068339
amplification,AnnSel,fr,-12.546502009894867,1.4357114776926283
amplification,AnnSel,de,-11.167976963512677,0.9935924015594829
amplification,AnnSel,es,-11.87845547309833,1.034041385516327
amplification,AnnSel,zh,-10.2148014745671,1.6300951520150828
amplification,AnnSel,ja,-10.99072307900433,0.9580326669988787
amplification,AnnSel,ko,-9.64130230217087,1.2932713754287213
feature-intervention,AnnSel,en,-12.237917439703153,1.3572925953301294
feature-intervention,AnnSel,fr,-15.405442176870748,1.4945839654411543
feature-intervention,AnnSel,de,-11.16425865800866,1.003131841522293
feature-intervention,AnnSel,es,-15.006872294372295,1.0143160342613857
feature-intervention,AnnSel,zh,-12.937281224634742,1.8469589494799583
feature-intervention,AnnSel,ja,-13.099042144379057,1.426348546947886
feature-intervention,AnnSel,ko,-10.868994721912202,1.8289071250988822
