Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.91507807668522,1.5488525575770142
original,AnnSel,fr,-10.811715367965368,1.4746194584082304
original,AnnSel,de,-14.376345083487942,2.1508854172076677
original,AnnSel,es,-13.097116573902287,1.5399080872429187
original,AnnSel,zh,-11.637767180735931,2.1937470628901607
original,AnnSel,ja,-11.707125946969697,1.6722161186209772
original,AnnSel,ko,-11.240391249883743,2.608005835136505
distractor ablation,AnnSel,en,-11.910779993815709,1.50303471863573
distractor ablation,AnnSel,fr,-11.158762368583798,1.4567129318109704
distractor ablation,AnnSel,de,-14.76639996907854,2.264822120802087
distractor ablation,AnnSel,es,-13.222448979591837,1.4055696037830063
distractor ablation,AnnSel,zh,-11.72947527732684,2.345324331217648
distractor ablation,AnnSel,ja,-11.852999864718615,1.7046587534417643
distractor ablation,AnnSel,ko,-11.552520427116159,2.7720569103343915
amplification,AnnSel,en,-11.696525200989486,1.449634054837187
amplification,AnnSel,fr,-10.776252319109462,1.4913984685095616
amplification,AnnSel,de,-12.915940012368583,2.1245479163230523
amplification,AnnSel,es,-11.388303957946816,1.0983250600746628
amplification,AnnSel,zh,-10.750634131493507,1.9438475574449205
amplification,AnnSel,ja,-11.442048836580087,1.045141164707498
amplification,AnnSel,ko,-11.163988445720085,2.409714995279362
