Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.289223871366728,1.1759708915562477
original,AnnSel,fr,-12.638837353123067,1.2297310450927335
original,AnnSel,de,-10.99133039579468,0.8246174239936128
original,AnnSel,es,-13.12605905998763,1.713245908702734
original,AnnSel,zh,-10.753382034632034,1.6155114169195621
original,AnnSel,ja,-10.652029220779221,1.280984777706603
original,AnnSel,ko,-10.274139844536448,1.6094012805626772
distractor ablation,AnnSel,en,-11.288980364873222,1.166222798496874
distractor ablation,AnnSel,fr,-13.147414192949908,1.1557618769913918
distractor ablation,AnnSel,de,-10.776704545454546,0.692634602133215
distractor ablation,AnnSel,es,-13.49482065553494,1.6540188731761847
distractor ablation,AnnSel,zh,-10.949180702110391,1.7330887268706325
distractor ablation,AnnSel,ja,-10.982722876082251,1.3348877639765047
distractor ablation,AnnSel,ko,-10.149700893541011,1.503628509131003
amplification,AnnSel,en,-10.965348639455783,0.9655703746829323
amplification,AnnSel,fr,-11.92196583178726,1.1075772697445783
amplification,AnnSel,de,-10.521177334570192,0.8957034337260547
amplification,AnnSel,es,-11.907154452690166,1.4456050443104782
amplification,AnnSel,zh,-9.989862351190476,1.4496193930148396
amplification,AnnSel,ja,-10.453525771103896,0.9977115605653564
amplification,AnnSel,ko,-10.298386402290408,1.6477172346976607
feature-intervention,AnnSel,en,-12.041021181199753,1.360248926925447
feature-intervention,AnnSel,fr,-14.672588126159555,1.4015775229792105
feature-intervention,AnnSel,de,-10.486711502782933,0.8784937810224528
feature-intervention,AnnSel,es,-15.124126468769324,1.869419928881204
feature-intervention,AnnSel,zh,-12.696605864025297,1.2630840204213676
feature-intervention,AnnSel,ja,-12.379937770562771,1.2388574956394982
feature-intervention,AnnSel,ko,-11.77734586998862,2.13438280628906
