Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.688566790352505,0.6263067145825824
original,AnnSel,fr,-11.865016233766235,0.8677269560391692
original,AnnSel,de,-12.064714749536178,1.3500573989647673
original,AnnSel,es,-11.023465522572666,0.8409725636472231
original,AnnSel,zh,-8.984070616883118,1.2391548283844434
original,AnnSel,ja,-9.858800054112553,0.996458133587591
original,AnnSel,ko,-9.94849232906053,2.637987369895687
distractor ablation,AnnSel,en,-9.759987631416204,0.6574187292286172
distractor ablation,AnnSel,fr,-12.391778756957327,0.8188103601328505
distractor ablation,AnnSel,de,-12.336893166357452,1.412584978582521
distractor ablation,AnnSel,es,-11.4099451144094,0.7970753691859979
distractor ablation,AnnSel,zh,-9.15723924512987,1.202721779847686
distractor ablation,AnnSel,ja,-10.10693317099567,0.8749865536858704
distractor ablation,AnnSel,ko,-10.206412042356005,2.854411835765617
amplification,AnnSel,en,-9.685227272727273,0.6296334884630531
amplification,AnnSel,fr,-11.261408085961657,0.7459027618322336
amplification,AnnSel,de,-11.460265924551639,1.5203572503567604
amplification,AnnSel,es,-10.338775510204082,0.8107955644590066
amplification,AnnSel,zh,-8.82028713474026,1.217152083061429
amplification,AnnSel,ja,-11.439184253246752,1.172040727701125
amplification,AnnSel,ko,-9.859328454282103,2.3150913325898355
feature-intervention,AnnSel,en,-12.18163651824366,1.0384596072691472
feature-intervention,AnnSel,fr,-14.868251391465677,1.3843814459310801
feature-intervention,AnnSel,de,-14.144032158317872,2.3860079469573794
feature-intervention,AnnSel,es,-14.000162337662337,1.7190498056013144
feature-intervention,AnnSel,zh,-10.971624729437229,1.454512640255856
feature-intervention,AnnSel,ja,-11.135616206709956,1.0482252253666269
feature-intervention,AnnSel,ko,-13.741926100274094,3.68265612272804
