Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.664896413110698,1.0857216475769413
original,AnnSel,fr,-11.533124613481757,1.4928403014616576
original,AnnSel,de,-14.230558132343846,1.6826569989051208
original,AnnSel,es,-10.830047928262214,0.9433753120117963
original,AnnSel,zh,-11.078573119588745,2.012297985519468
original,AnnSel,ja,-11.391529694264069,1.6224955973779809
original,AnnSel,ko,-10.604308577679118,1.7497552241275345
distractor ablation,AnnSel,en,-11.685196351267779,1.0425631251078544
distractor ablation,AnnSel,fr,-11.874528447742733,1.5223454959456177
distractor ablation,AnnSel,de,-14.544557823129251,1.7101642278164435
distractor ablation,AnnSel,es,-11.320953153988867,1.0044518523648733
distractor ablation,AnnSel,zh,-11.278933306277056,2.1462102165348975
distractor ablation,AnnSel,ja,-11.523794304653679,1.6731314068646588
distractor ablation,AnnSel,ko,-10.760662952925312,1.7661239528055992
amplification,AnnSel,en,-11.374041434755721,0.9982996204736986
amplification,AnnSel,fr,-10.903455473098331,1.332535212161495
amplification,AnnSel,de,-12.510694959802104,1.5461578582333746
amplification,AnnSel,es,-10.015356369820655,0.9448174287884488
amplification,AnnSel,zh,-10.424605992965368,1.908416205708805
amplification,AnnSel,ja,-11.314289096320348,0.8371477014851725
amplification,AnnSel,ko,-10.642032257849428,1.7231647547364788
feature-intervention,AnnSel,en,-12.132270408163265,1.0563009976130426
feature-intervention,AnnSel,fr,-10.947027674706247,1.287745879510582
feature-intervention,AnnSel,de,-14.864223871366729,1.4617646908318156
feature-intervention,AnnSel,es,-12.62099567099567,1.0146168042125268
feature-intervention,AnnSel,zh,-11.785287303841992,2.2304058390728008
feature-intervention,AnnSel,ja,-11.738728524080086,1.28804261764915
feature-intervention,AnnSel,ko,-12.056637350985316,2.20262345614338
