Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.62650742115028,1.1123159832464922
original,AnnSel,fr,-12.104356060606062,0.8939331142242194
original,AnnSel,de,-12.889560142238713,1.5534827661137895
original,AnnSel,es,-10.023130701144094,1.4746073542933953
original,AnnSel,zh,-9.817040381493507,1.255471096244076
original,AnnSel,ja,-9.802866274350649,0.9388989156333327
original,AnnSel,ko,-10.04411049209723,1.5501151799579311
distractor ablation,AnnSel,en,-10.542976963512677,1.0834679961476843
distractor ablation,AnnSel,fr,-12.393212739641312,0.73489834657189
distractor ablation,AnnSel,de,-13.241457946815089,1.511739725239443
distractor ablation,AnnSel,es,-10.006597866419295,1.4676902850372786
distractor ablation,AnnSel,zh,-9.918573288690476,1.4700742974122207
distractor ablation,AnnSel,ja,-10.056104572510822,0.9537471837441465
distractor ablation,AnnSel,ko,-9.963747596206451,1.5368930040622772
amplification,AnnSel,en,-10.29422928262214,1.060620593099452
amplification,AnnSel,fr,-11.149435683364256,0.9308596161646457
amplification,AnnSel,de,-11.639289579468151,1.4759345349323105
amplification,AnnSel,es,-9.531219561688312,1.3846655943966115
amplification,AnnSel,zh,-9.143964759199134,1.2263839914860546
amplification,AnnSel,ja,-9.670151853354978,0.5900773260296387
amplification,AnnSel,ko,-10.080221138748469,1.571099487308664
feature-intervention,AnnSel,en,-11.001020408163265,1.2885812054687937
feature-intervention,AnnSel,fr,-13.067269635126777,0.9689767075071064
feature-intervention,AnnSel,de,-13.868460111317253,1.6155485716698292
feature-intervention,AnnSel,es,-9.462537685528757,1.3907542157832025
feature-intervention,AnnSel,zh,-10.414793864989177,1.2070570836565764
feature-intervention,AnnSel,ja,-10.475004227543291,0.7961450819822761
feature-intervention,AnnSel,ko,-10.630825096151742,1.8410363333102768
