Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.722646103896105,0.45705643067540985
original,AnnSel,fr,-12.825722789115646,1.58296170280191
original,AnnSel,de,-13.14974876314162,1.8529286643748677
original,AnnSel,es,-11.701692949907237,1.040768216229638
original,AnnSel,zh,-9.771272997835498,1.2960249497118903
original,AnnSel,ja,-10.361843885281386,1.0599337020774495
original,AnnSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,AnnSel,en,-9.712878787878788,0.45251481125360704
distractor ablation,AnnSel,fr,-13.264679962894249,1.483684684351604
distractor ablation,AnnSel,de,-13.412268089053802,1.8916139441196758
distractor ablation,AnnSel,es,-12.221107761286333,1.044905643064691
distractor ablation,AnnSel,zh,-10.178267045454545,1.4933777611799381
distractor ablation,AnnSel,ja,-10.535484307359308,1.070365748041469
distractor ablation,AnnSel,ko,-9.82997539103532,1.667635913334312
amplification,AnnSel,en,-9.572101113172542,0.5224902000586262
amplification,AnnSel,fr,-12.223778602350032,1.69996783602021
amplification,AnnSel,de,-12.718309369202228,2.1303378051903366
amplification,AnnSel,es,-11.18067022263451,1.0365240411302765
amplification,AnnSel,zh,-9.486573322510822,1.2084591558315196
amplification,AnnSel,ja,-10.69125744047619,0.5147916038095441
amplification,AnnSel,ko,-9.967539666012888,1.5810450243682819
feature-intervention,AnnSel,en,-9.484508348794064,0.516882751217522
feature-intervention,AnnSel,fr,-12.70971706864564,1.7829169696625267
feature-intervention,AnnSel,de,-12.962275819418677,1.9398827636486513
feature-intervention,AnnSel,es,-11.48729514533086,1.0492292272890318
feature-intervention,AnnSel,zh,-10.087078936688313,1.4554201214054674
feature-intervention,AnnSel,ja,-10.52424073322511,1.0163647506321971
feature-intervention,AnnSel,ko,-9.762624284332874,1.614938991102106
