Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.643170222634508,1.066440233310087
original,AnnSel,fr,-12.138199598021028,1.1339175315646985
original,AnnSel,de,-13.026120902906618,1.6299069829157464
original,AnnSel,es,-9.597555755256648,1.2224953773635272
original,AnnSel,zh,-9.687094155844155,1.1824995186917466
original,AnnSel,ja,-10.255735930735932,0.8800302076755
original,AnnSel,ko,-10.117176199092919,1.5813909682097695
distractor ablation,AnnSel,en,-10.636931818181818,1.0388226441672268
distractor ablation,AnnSel,fr,-12.436147186147187,1.0304763450006647
distractor ablation,AnnSel,de,-13.359087043908472,1.5772185531765424
distractor ablation,AnnSel,es,-9.632477195423624,1.2380092544845063
distractor ablation,AnnSel,zh,-10.019302962662337,1.4423342958955665
distractor ablation,AnnSel,ja,-10.432782061688313,0.9286395497855641
distractor ablation,AnnSel,ko,-10.074938375008205,1.5409480105799436
amplification,AnnSel,en,-10.429603432282004,1.012081961679972
amplification,AnnSel,fr,-11.250212585034015,0.8462297641310393
amplification,AnnSel,de,-11.867942176870747,1.7242715602874856
amplification,AnnSel,es,-9.284159999226963,1.1455773654520356
amplification,AnnSel,zh,-9.243574134199134,1.1972690792964178
amplification,AnnSel,ja,-10.354905641233767,0.5521581665763409
amplification,AnnSel,ko,-10.168329874674479,1.5796491546227525
feature-intervention,AnnSel,en,-11.069716295609153,1.0746950044075567
feature-intervention,AnnSel,fr,-13.260644712430425,1.0569246383183417
feature-intervention,AnnSel,de,-14.168552875695735,1.5809563252433658
feature-intervention,AnnSel,es,-9.243430639301176,1.1621695621750256
feature-intervention,AnnSel,zh,-10.43504168357684,1.4729490977083606
feature-intervention,AnnSel,ja,-10.927329799107143,0.8556950577603267
feature-intervention,AnnSel,ko,-10.74413914613697,1.9202662783838134
