Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.054839208410637,0.8325904710224485
original,AnnSel,fr,-12.238323283858998,1.4134975143839712
original,AnnSel,de,-12.4034206864564,1.4490500064936407
original,AnnSel,es,-10.088412183055041,1.4711466507162658
original,AnnSel,zh,-9.13080018939394,0.9917573072505638
original,AnnSel,ja,-9.946372767857143,0.9435484454770222
original,AnnSel,ko,-9.51982930501302,1.3225694707159292
distractor ablation,AnnSel,en,-10.072406462585034,0.918814427464954
distractor ablation,AnnSel,fr,-12.513226654298082,1.219528923458206
distractor ablation,AnnSel,de,-12.694190630797774,1.4097175617860236
distractor ablation,AnnSel,es,-10.521101963512677,1.4956543786707677
distractor ablation,AnnSel,zh,-9.266242221320345,0.9861876042872548
distractor ablation,AnnSel,ja,-10.20993979978355,0.9873125596518683
distractor ablation,AnnSel,ko,-9.578189813523066,1.4464189853965586
amplification,AnnSel,en,-9.935923005565863,0.8435175569648892
amplification,AnnSel,fr,-11.208611626468768,0.8929152472887021
amplification,AnnSel,de,-11.768100649350648,1.5147188139129344
amplification,AnnSel,es,-9.666009585652443,1.3809545928537639
amplification,AnnSel,zh,-8.900948660714286,0.7413448711091862
amplification,AnnSel,ja,-10.821898674242423,0.879758325871921
amplification,AnnSel,ko,-9.486232263901655,1.3117480418230496
feature-intervention,AnnSel,en,-11.043425324675326,1.1765574722824423
feature-intervention,AnnSel,fr,-13.945624613481757,1.2796809280171395
feature-intervention,AnnSel,de,-13.52908163265306,1.3381102614431688
feature-intervention,AnnSel,es,-11.497711811997528,1.1338729596411279
feature-intervention,AnnSel,zh,-8.911424512987013,0.7408585568593694
feature-intervention,AnnSel,ja,-9.711295995670996,1.4965194087583291
feature-intervention,AnnSel,ko,-11.090532165014443,1.6904130195152978
