Experiment,Method,Run,mean,stdev
original,AnnSel,en,-2.395,2.239063628917998
original,AnnSel,fr,-6.4225,3.8282979114731783
original,AnnSel,de,-6.8725,3.919153385308587
original,AnnSel,es,-6.1975,3.3083667275621673
original,AnnSel,zh,-4.76,2.717216202087881
original,AnnSel,ja,-5.7021875,2.640322699509322
original,AnnSel,ko,0.0,0.0
distractor ablation,AnnSel,en,-2.013125,2.1653968999278566
distractor ablation,AnnSel,fr,-6.4225,3.8282979114731783
distractor ablation,AnnSel,de,-7.04375,4.056308413067132
distractor ablation,AnnSel,es,-6.19875,3.3084103780815917
distractor ablation,AnnSel,zh,-4.63375,2.729405494986153
distractor ablation,AnnSel,ja,-5.793125,2.7088241833753983
distractor ablation,AnnSel,ko,0.0,0.0
amplification,AnnSel,en,-1.766875,2.1271501117348386
amplification,AnnSel,fr,1.5665625,3.6142344250212712
amplification,AnnSel,de,6.398125,3.2425724298390817
amplification,AnnSel,es,-2.418125,3.1461367879929547
amplification,AnnSel,zh,0.695625,3.19845062662922
amplification,AnnSel,ja,6.4903125,3.871787868635872
amplification,AnnSel,ko,0.0,0.0
feature-intervention,AnnSel,en,-2.56,2.3162749014726036
feature-intervention,AnnSel,fr,-6.7475,3.9249079156668945
feature-intervention,AnnSel,de,-7.36875,4.034118028789195
feature-intervention,AnnSel,es,-6.52375,3.352722727029993
feature-intervention,AnnSel,zh,-4.8525,2.7417449560526967
feature-intervention,AnnSel,ja,-5.794375,2.6189247729823024
feature-intervention,AnnSel,ko,0.0,0.0
