Experiment,Method,Run,mean,stdev
original,AnnSel,en,-1.516875,4.111354985898902
original,AnnSel,fr,-4.6534375,4.824547704683457
original,AnnSel,de,0.0,0.0
original,AnnSel,es,-4.5934375,4.265437960712312
original,AnnSel,zh,-10.3175,4.546172788897839
original,AnnSel,ja,-10.72375,4.056405004353416
original,AnnSel,ko,-11.816875,4.964619972143188
distractor ablation,AnnSel,en,-1.3665625,4.143622009522191
distractor ablation,AnnSel,fr,-4.6609375,4.824587124400184
distractor ablation,AnnSel,de,0.02875,0.21749187259864367
distractor ablation,AnnSel,es,-4.6290625,4.228536056787774
distractor ablation,AnnSel,zh,-10.31625,4.517109990962645
distractor ablation,AnnSel,ja,-10.6609375,4.03176107431008
distractor ablation,AnnSel,ko,-11.8175,4.963733133688267
amplification,AnnSel,en,-1.190625,4.109190462788224
amplification,AnnSel,fr,-0.4584375,3.622158126609101
amplification,AnnSel,de,0.01875,0.13457635548098876
amplification,AnnSel,es,-0.9975,3.4715533194083235
amplification,AnnSel,zh,-0.80625,4.330716994985537
amplification,AnnSel,ja,-1.01546875,4.4600374950075725
amplification,AnnSel,ko,-11.48125,4.939074036280342
feature-intervention,AnnSel,en,-3.0865625,3.451626320194781
feature-intervention,AnnSel,fr,-5.8465625,4.507449236868701
feature-intervention,AnnSel,de,0.025625,0.167161906258694
feature-intervention,AnnSel,es,-5.4059375,3.8247533853579134
feature-intervention,AnnSel,zh,-10.411875,3.6311918665699054
feature-intervention,AnnSel,ja,-11.1284375,3.599883312042485
feature-intervention,AnnSel,ko,-12.7828125,4.636450503965939
