Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.1675,3.5133435217781086
original,AnnSel,fr,0.0,0.0
original,AnnSel,de,-7.145625,4.467007412588003
original,AnnSel,es,-3.5846875,3.949230199949182
original,AnnSel,zh,-10.711875,3.189546716136823
original,AnnSel,ja,-12.0478125,4.033172734151587
original,AnnSel,ko,-14.296875,4.120869287384899
distractor ablation,AnnSel,en,-3.1225,3.5351200635390536
distractor ablation,AnnSel,fr,0.0375,0.2201210640267824
distractor ablation,AnnSel,de,-7.145,4.468162840213712
distractor ablation,AnnSel,es,-3.5971875,3.950108318163055
distractor ablation,AnnSel,zh,-10.725625,3.2008336069954835
distractor ablation,AnnSel,ja,-12.025625,4.047238183753874
distractor ablation,AnnSel,ko,-14.296875,4.120869287384899
amplification,AnnSel,en,-2.98875,3.5335957503324678
amplification,AnnSel,fr,0.036875,0.18572284900198505
amplification,AnnSel,de,1.834375,2.7744461949662362
amplification,AnnSel,es,-1.8178125,3.291963495319152
amplification,AnnSel,zh,-2.3946875,3.563324086746904
amplification,AnnSel,ja,-2.49828125,3.9628860723631694
amplification,AnnSel,ko,-14.106875,4.093363675965296
