Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.833770098948671,1.23045281836786
original,AnnSel,fr,-12.882181508967223,1.3105070538169976
original,AnnSel,de,-14.088245980210266,1.6195403258042202
original,AnnSel,es,-13.401712275819419,1.6751293889272982
original,AnnSel,zh,-12.29087188852814,2.5930704638229005
original,AnnSel,ja,-12.742468208874458,1.5214316850723157
original,AnnSel,ko,-10.23714230053899,1.6607652379991045
distractor ablation,AnnSel,en,-11.859778911564627,1.2187870343978189
distractor ablation,AnnSel,fr,-13.377983920841062,1.4117386086369437
distractor ablation,AnnSel,de,-14.388852813852813,1.6653567059472996
distractor ablation,AnnSel,es,-13.694209956709956,1.6879230148402165
distractor ablation,AnnSel,zh,-12.634093445616884,3.0812894779554676
distractor ablation,AnnSel,ja,-12.959522118506493,1.436063891395292
distractor ablation,AnnSel,ko,-10.174458468995509,1.7161972874005123
amplification,AnnSel,en,-11.094677643784788,1.0861025904871127
amplification,AnnSel,fr,-12.303741496598638,1.2257192982592722
amplification,AnnSel,de,-12.684403988868274,1.691396815775248
amplification,AnnSel,es,-12.058232838589982,1.5455815883464326
amplification,AnnSel,zh,-10.43249458874459,1.8879220442383808
amplification,AnnSel,ja,-11.190878652597403,0.704278309588367
amplification,AnnSel,ko,-10.220536728065554,1.6791995753453666
feature-intervention,AnnSel,en,-12.080894403215833,1.201662348579833
feature-intervention,AnnSel,fr,-13.632189239332096,1.402766318941975
feature-intervention,AnnSel,de,-14.35112863327149,1.702696871303477
feature-intervention,AnnSel,es,-13.585548082869511,1.5795816382656902
feature-intervention,AnnSel,zh,-13.362858495670995,2.862342908807106
feature-intervention,AnnSel,ja,-13.784368235930737,1.5286024770981903
feature-intervention,AnnSel,ko,-10.215284619211149,1.6630678456761898
