Experiment,Method,Run,mean,stdev
original,AnnSel,en,3.4590625,3.3510204723757755
original,AnnSel,fr,-0.7828125,4.337504764410244
original,AnnSel,de,0.0,0.0
original,AnnSel,es,-0.3325,3.3641787799753393
original,AnnSel,zh,3.171875,3.521806784471071
original,AnnSel,ja,-0.66578125,4.428456724915485
original,AnnSel,ko,-3.830625,3.9594027163930683
distractor ablation,AnnSel,en,3.5746875,3.364675375769833
distractor ablation,AnnSel,fr,-0.7828125,4.337504764410244
distractor ablation,AnnSel,de,0.0025,0.025
distractor ablation,AnnSel,es,-0.3315625,3.36094123108495
distractor ablation,AnnSel,zh,0.730625,2.9532967021592746
distractor ablation,AnnSel,ja,-1.765625,4.579006437279983
distractor ablation,AnnSel,ko,-3.830625,3.9594027163930683
amplification,AnnSel,en,3.868125,3.37883124059178
amplification,AnnSel,fr,2.3059375,3.57696396738328
amplification,AnnSel,de,0.075,0.4016223413239172
amplification,AnnSel,es,3.1521875,3.444087051440153
amplification,AnnSel,zh,9.2834375,4.005752292927219
amplification,AnnSel,ja,8.22328125,3.9900409030022486
amplification,AnnSel,ko,-2.71375,3.8623140748295266
feature-intervention,AnnSel,en,-2.555,3.110091077257768
feature-intervention,AnnSel,fr,-5.645,4.5499787538354
feature-intervention,AnnSel,de,0.074375,0.3984359217140458
feature-intervention,AnnSel,es,-4.999375,3.6184468697728156
feature-intervention,AnnSel,zh,-7.36,2.801460094596416
feature-intervention,AnnSel,ja,-9.60125,3.444853017271718
feature-intervention,AnnSel,ko,-11.4184375,4.106934285937485
