Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.200355596784167,0.7974263371495991
original,AnnSel,fr,-11.77952612863327,0.9534236898737178
original,AnnSel,de,-11.554615027829314,1.16081708953353
original,AnnSel,es,-11.282108070500927,1.6824182068683193
original,AnnSel,zh,-9.242373511904761,0.9068725952221921
original,AnnSel,ja,-9.692028544372294,1.0102374506542324
original,AnnSel,ko,-9.593492344447544,1.3550753098391777
distractor ablation,AnnSel,en,-10.271846011131725,0.8316436701294634
distractor ablation,AnnSel,fr,-12.189478973407546,0.9202619856010803
distractor ablation,AnnSel,de,-11.927168367346939,1.115827840008827
distractor ablation,AnnSel,es,-11.757958410636983,1.635011584428523
distractor ablation,AnnSel,zh,-9.313079173430737,0.9687901281791257
distractor ablation,AnnSel,ja,-10.086509063852814,0.9672572336794107
distractor ablation,AnnSel,ko,-9.615920088738621,1.4727465722142106
amplification,AnnSel,en,-10.10838358070501,0.7798015666451169
amplification,AnnSel,fr,-10.969584879406309,0.7152768979783447
amplification,AnnSel,de,-11.411247680890538,1.288034019285994
amplification,AnnSel,es,-10.529178262213977,1.601005956794827
amplification,AnnSel,zh,-8.971776920995671,0.7194376804855883
amplification,AnnSel,ja,-10.4514356737013,1.016285621059154
amplification,AnnSel,ko,-9.58379696116728,1.3097220348711227
feature-intervention,AnnSel,en,-11.187496134817565,1.0621582932894549
feature-intervention,AnnSel,fr,-13.512144403215832,0.9479094527168488
feature-intervention,AnnSel,de,-12.995987940630798,1.325451292928611
feature-intervention,AnnSel,es,-12.358457019171306,1.5686127285982954
feature-intervention,AnnSel,zh,-8.956693046536797,0.7205356266133837
feature-intervention,AnnSel,ja,-9.558639407467533,1.4560984172660958
feature-intervention,AnnSel,ko,-11.313036852924764,1.749254820007111
