Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.91507807668522,1.5488525575770142
original,AnnSel,fr,-10.811715367965368,1.4746194584082304
original,AnnSel,de,-14.376345083487942,2.1508854172076677
original,AnnSel,es,-13.097116573902287,1.5399080872429187
original,AnnSel,zh,-11.637767180735931,2.1937470628901607
original,AnnSel,ja,-11.707125946969697,1.6722161186209772
original,AnnSel,ko,-11.240391249883743,2.608005835136505
distractor ablation,AnnSel,en,-11.910779993815709,1.50303471863573
distractor ablation,AnnSel,fr,-11.176345083487941,1.4415829868902044
distractor ablation,AnnSel,de,-14.76639996907854,2.264822120802087
distractor ablation,AnnSel,es,-13.222448979591837,1.4055696037830063
distractor ablation,AnnSel,zh,-11.726811925054111,2.3498283336906245
distractor ablation,AnnSel,ja,-11.856043695887447,1.7014610782801178
distractor ablation,AnnSel,ko,-11.552520427116159,2.7720569103343915
amplification,AnnSel,en,-11.705871212121211,1.4430310822285237
amplification,AnnSel,fr,-10.761297928262213,1.4799366450090767
amplification,AnnSel,de,-12.907285868893013,2.117799938576202
amplification,AnnSel,es,-11.385095856524428,1.1030130952273751
amplification,AnnSel,zh,-10.748520359848484,1.9520795660757186
amplification,AnnSel,ja,-11.440953057359307,1.0467505699194888
amplification,AnnSel,ko,-11.163988445720085,2.409714995279362
