Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.62650742115028,1.1123159832464922
original,AnnSel,fr,-12.104356060606062,0.8939331142242194
original,AnnSel,de,-12.889560142238713,1.5534827661137895
original,AnnSel,es,-10.023130701144094,1.4746073542933953
original,AnnSel,zh,-9.817040381493507,1.255471096244076
original,AnnSel,ja,-9.802866274350649,0.9388989156333327
original,AnnSel,ko,-10.04411049209723,1.5501151799579311
distractor ablation,AnnSel,en,-10.542976963512677,1.0834679961476843
distractor ablation,AnnSel,fr,-12.393212739641312,0.73489834657189
distractor ablation,AnnSel,de,-13.241457946815089,1.511739725239443
distractor ablation,AnnSel,es,-10.009446505875077,1.4670932640196994
distractor ablation,AnnSel,zh,-9.920323491612553,1.472751720014929
distractor ablation,AnnSel,ja,-10.053943452380953,0.955284053608076
distractor ablation,AnnSel,ko,-9.963747596206451,1.5368930040622772
amplification,AnnSel,en,-10.292547928262213,1.0615020684201248
amplification,AnnSel,fr,-11.144635126777985,0.9274028349951549
amplification,AnnSel,de,-11.631060606060606,1.4498368067620455
amplification,AnnSel,es,-9.509226673623996,1.3787008417869688
amplification,AnnSel,zh,-9.145892518939394,1.2301431286706836
amplification,AnnSel,ja,-9.671924039502164,0.5971853703459916
amplification,AnnSel,ko,-10.080221138748469,1.571099487308664
feature-intervention,AnnSel,en,-11.00574752628324,1.3158330456288905
feature-intervention,AnnSel,fr,-13.05987940630798,0.9689676237937593
feature-intervention,AnnSel,de,-13.870068027210886,1.6044477591243003
feature-intervention,AnnSel,es,-9.469637542517006,1.3821720965025346
feature-intervention,AnnSel,zh,-10.423485693993507,1.2209361500707132
feature-intervention,AnnSel,ja,-10.463043662067099,0.7888104933503512
feature-intervention,AnnSel,ko,-10.628229682986476,1.8359515634217134
