Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.939397804576375,0.45741838575958144
original,AnnSel,fr,-11.697870284477428,0.6526614705401989
original,AnnSel,de,-11.860895949288807,0.8867071126396353
original,AnnSel,es,-11.700355596784167,1.0790277819812284
original,AnnSel,zh,-9.980697037337663,1.4212032698103945
original,AnnSel,ja,-9.952355587121213,1.2673099103202627
original,AnnSel,ko,-8.389853255755428,1.1885967944748805
distractor ablation,AnnSel,en,-9.972456709956711,0.44428159398200534
distractor ablation,AnnSel,fr,-12.126051329622758,0.6132507317578614
distractor ablation,AnnSel,de,-12.112507730364873,0.7985369188307888
distractor ablation,AnnSel,es,-12.106192022263452,1.0452978579158434
distractor ablation,AnnSel,zh,-9.967532467532466,1.5966654184296636
distractor ablation,AnnSel,ja,-10.285834347943723,1.0099184962147085
distractor ablation,AnnSel,ko,-8.297849322834603,1.13068318558688
amplification,AnnSel,en,-9.753111471861471,0.43874436127336336
amplification,AnnSel,fr,-11.141245361781076,0.5819780936886438
amplification,AnnSel,de,-11.423693568336427,1.1194544159452275
amplification,AnnSel,es,-10.912225572047001,1.1310852175759247
amplification,AnnSel,zh,-8.934236336580087,1.21534480655632
amplification,AnnSel,ja,-10.274120670995671,1.4878076516636063
amplification,AnnSel,ko,-8.365227784228926,1.1953092734844006
feature-intervention,AnnSel,en,-12.1413535868893,0.9896404016128495
feature-intervention,AnnSel,fr,-13.899049165120593,1.3829229245119778
feature-intervention,AnnSel,de,-13.219488249845394,1.6338037712992728
feature-intervention,AnnSel,es,-13.692416512059369,1.8822379412812753
feature-intervention,AnnSel,zh,-10.702583874458876,2.0981424232436683
feature-intervention,AnnSel,ja,-10.265024688852815,1.498521293884971
feature-intervention,AnnSel,ko,-11.830261568128227,2.3087417635640946
