Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.573353432282003,0.7676266011658485
original,AnnSel,fr,-11.508480210265926,1.3291157269275353
original,AnnSel,de,-11.765194032158318,1.3272673340285384
original,AnnSel,es,-11.232568027210885,0.8345157579405271
original,AnnSel,zh,-9.473434117965368,1.2574465012780156
original,AnnSel,ja,-9.657951163419913,1.1727395603374504
original,AnnSel,ko,-9.507644896948037,1.2453368956521669
distractor ablation,AnnSel,en,-9.637399505256647,0.8023331229938325
distractor ablation,AnnSel,fr,-11.941322665429809,1.295413103303363
distractor ablation,AnnSel,de,-11.954850803957948,1.2832052369386349
distractor ablation,AnnSel,es,-11.639181354359925,0.8846167148601448
distractor ablation,AnnSel,zh,-9.503280573593074,1.3592996599789233
distractor ablation,AnnSel,ja,-9.871409970238094,0.9222083192274516
distractor ablation,AnnSel,ko,-9.653706783006172,1.358296297015515
amplification,AnnSel,en,-9.360555813234384,0.770399740740073
amplification,AnnSel,fr,-10.87744086270872,1.3448356725510517
amplification,AnnSel,de,-11.134272572665429,1.4942029991647388
amplification,AnnSel,es,-10.430913729128017,0.810166179197294
amplification,AnnSel,zh,-9.02146746482684,1.080525601472422
amplification,AnnSel,ja,-10.649638122294373,1.3323736185990385
amplification,AnnSel,ko,-9.550363586596747,1.2098431928503075
feature-intervention,AnnSel,en,-11.552411873840445,1.060559550447479
feature-intervention,AnnSel,fr,-14.002620593692024,1.5991420163262413
feature-intervention,AnnSel,de,-13.44671459492888,1.9036790452630714
feature-intervention,AnnSel,es,-13.662639146567718,1.8449128402984583
feature-intervention,AnnSel,zh,-10.83792444534632,1.4521877883439278
feature-intervention,AnnSel,ja,-10.498689461580087,1.2291717243868931
feature-intervention,AnnSel,ko,-13.316389845733214,2.6498933950498866
