Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.574841527520098,0.7403197149557531
original,AnnSel,fr,-11.546958101422389,1.0596820240602733
original,AnnSel,de,-11.906563079777365,1.248325797692099
original,AnnSel,es,-10.898809523809524,1.3380952601607068
original,AnnSel,zh,-9.146560470779221,1.0978016384399463
original,AnnSel,ja,-9.771176609848485,0.7716810993699194
original,AnnSel,ko,-9.676692515995656,1.3655052464560358
distractor ablation,AnnSel,en,-9.625494743351885,0.7765940045730052
distractor ablation,AnnSel,fr,-11.959782776747062,1.054315186783238
distractor ablation,AnnSel,de,-12.124493661100804,1.1995571967834069
distractor ablation,AnnSel,es,-11.335142238713669,1.3406604180103696
distractor ablation,AnnSel,zh,-9.209178841991342,1.1537588699723234
distractor ablation,AnnSel,ja,-10.04846286525974,0.8618479180365847
distractor ablation,AnnSel,ko,-9.925042348482362,1.7733010420741835
amplification,AnnSel,en,-9.411328849721707,0.6963438804672188
amplification,AnnSel,fr,-10.831435528756957,1.0901043121926945
amplification,AnnSel,de,-11.264409400123686,1.3509126339862805
amplification,AnnSel,es,-10.271061379097093,1.2960621197399487
amplification,AnnSel,zh,-8.880664908008658,0.8230520719111748
amplification,AnnSel,ja,-10.696834415584416,0.9124696653078963
amplification,AnnSel,ko,-9.630348705644368,1.2755305004791595
feature-intervention,AnnSel,en,-10.237183055040196,0.7396228550816153
feature-intervention,AnnSel,fr,-13.218576066790352,0.9356471817561386
feature-intervention,AnnSel,de,-12.903818800247373,1.0525709662747738
feature-intervention,AnnSel,es,-11.766987476808906,1.0577053521223658
feature-intervention,AnnSel,zh,-8.836799918831169,0.8006652550586855
feature-intervention,AnnSel,ja,-9.543721252705627,1.251102301133993
feature-intervention,AnnSel,ko,-11.243702009612438,1.9285981328024773
