Experiment,Method,Run,mean,stdev
original,AnnSel,en,0.0,0.0
original,AnnSel,fr,-5.72875,4.084378924572859
original,AnnSel,de,-7.634375,3.971830805351404
original,AnnSel,es,-4.1425,3.028798016415493
original,AnnSel,zh,-9.02875,1.9822726823960768
original,AnnSel,ja,-11.136875,2.624138491986706
original,AnnSel,ko,-13.058125,2.8852509251161913
distractor ablation,AnnSel,en,0.0,0.0
distractor ablation,AnnSel,fr,-5.7625,4.108639502390793
distractor ablation,AnnSel,de,-7.634375,3.971830805351404
distractor ablation,AnnSel,es,-4.736875,3.0675179849110137
distractor ablation,AnnSel,zh,-9.0025,1.9811078996614522
distractor ablation,AnnSel,ja,-11.0675,2.64717783782097
distractor ablation,AnnSel,ko,-13.058125,2.8852509251161913
amplification,AnnSel,en,0.00125,0.0125
amplification,AnnSel,fr,-2.743125,2.899923465878806
amplification,AnnSel,de,-1.260625,2.4269968446028356
amplification,AnnSel,es,-2.69125,2.5187243870417397
amplification,AnnSel,zh,-1.805,1.7679963906563094
amplification,AnnSel,ja,-1.850625,2.722774653735643
amplification,AnnSel,ko,-12.78375,2.8103796721288656
feature-intervention,AnnSel,en,0.0075,0.05276448530110863
feature-intervention,AnnSel,fr,-6.038125,4.143180922118788
feature-intervention,AnnSel,de,-7.751875,3.9402843590503425
feature-intervention,AnnSel,es,-5.030625,3.1776560586612366
feature-intervention,AnnSel,zh,-9.06875,1.9673490887152405
feature-intervention,AnnSel,ja,-11.229375,2.583700716178797
feature-intervention,AnnSel,ko,-12.941875,2.754247394292068
