Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.40216836734694,1.3708020667613459
original,AnnSel,fr,-13.65401592455164,1.8761924742649574
original,AnnSel,de,-14.057154452690167,1.669322242714732
original,AnnSel,es,-9.667802547155224,1.120649798352818
original,AnnSel,zh,-10.952583874458876,1.6701609442518222
original,AnnSel,ja,-11.340094020562772,1.2703210468602328
original,AnnSel,ko,-10.773692308954832,1.9870817248458632
distractor ablation,AnnSel,en,-11.41897804576376,1.3310768072119779
distractor ablation,AnnSel,fr,-13.91832869511441,1.7375037476905235
distractor ablation,AnnSel,de,-14.395871985157699,1.654331271027946
distractor ablation,AnnSel,es,-9.581943800247371,0.939605763314083
distractor ablation,AnnSel,zh,-11.161124357413419,1.8928609164643238
distractor ablation,AnnSel,ja,-11.47781469832251,1.3375072679453748
distractor ablation,AnnSel,ko,-10.865889994303386,2.001385108438656
amplification,AnnSel,en,-11.04328231292517,1.2013458860230184
amplification,AnnSel,fr,-11.739834570191713,1.42193135632049
amplification,AnnSel,de,-12.289080859616574,1.783647329518543
amplification,AnnSel,es,-9.40692060915275,1.031902151105639
amplification,AnnSel,zh,-10.445659158549784,1.6825589421119347
amplification,AnnSel,ja,-11.048946496212121,0.6394077581676171
amplification,AnnSel,ko,-10.786481191597732,1.8992192072814924
