Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.050796227581941,0.8457650367225423
original,AnnSel,fr,-10.658159400123685,1.3916794540124922
original,AnnSel,de,-12.42080241187384,1.2841605404815992
original,AnnSel,es,-11.74371521335807,1.283391744945721
original,AnnSel,zh,-9.611108292748918,1.0230104879655333
original,AnnSel,ja,-9.754851528679653,1.2887055303981816
original,AnnSel,ko,-9.581807471523765,1.379049566268072
distractor ablation,AnnSel,en,-10.158731447124305,0.8720634285826194
distractor ablation,AnnSel,fr,-11.188130024737166,1.4110846818124343
distractor ablation,AnnSel,de,-12.703648732220161,1.3052543705916024
distractor ablation,AnnSel,es,-11.982081014223871,1.2739544583730404
distractor ablation,AnnSel,zh,-9.59198711444805,1.1540343148917764
distractor ablation,AnnSel,ja,-9.915322307900434,1.0181007021715334
distractor ablation,AnnSel,ko,-9.735132383031338,1.6222645211179225
amplification,AnnSel,en,-9.84918831168831,0.8455449221660319
amplification,AnnSel,fr,-10.432815398886829,1.0830390645108612
amplification,AnnSel,de,-11.705086580086581,1.5212088767235785
amplification,AnnSel,es,-10.622862554112555,1.2283945719561453
amplification,AnnSel,zh,-9.0372362012987,0.884360979661099
amplification,AnnSel,ja,-10.600229978354978,1.3101649359820844
amplification,AnnSel,ko,-9.562119419300924,1.3749854331737297
feature-intervention,AnnSel,en,-12.518375077303649,1.548204028692154
feature-intervention,AnnSel,fr,-13.634129560915275,1.4575600415314367
feature-intervention,AnnSel,de,-14.074598021026592,2.0224640861074676
feature-intervention,AnnSel,es,-14.14314316635745,2.2693309903928167
feature-intervention,AnnSel,zh,-11.09663318452381,1.6560953900973987
feature-intervention,AnnSel,ja,-10.605051068722943,1.3099000098485936
feature-intervention,AnnSel,ko,-13.551439515014991,2.848842282177914
