Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.065673314780456,0.3988046992075284
original,AnnSel,fr,-11.828397495361783,1.0223371290943677
original,AnnSel,de,-11.995462275819419,0.8865174518707554
original,AnnSel,es,-11.628076685219542,1.3986879248688684
original,AnnSel,zh,-9.917385349025974,1.027946765451832
original,AnnSel,ja,-10.004866747835496,1.286910287956912
original,AnnSel,ko,-8.40570147004114,1.1520347784303913
distractor ablation,AnnSel,en,-10.070245825602969,0.3874606401777014
distractor ablation,AnnSel,fr,-12.209013605442177,0.9575151434692847
distractor ablation,AnnSel,de,-12.24601113172542,0.7733698635147687
distractor ablation,AnnSel,es,-12.050282158317872,1.3380490177852067
distractor ablation,AnnSel,zh,-9.9355045995671,1.230894965190828
distractor ablation,AnnSel,ja,-10.384639644209956,1.3857495121094892
distractor ablation,AnnSel,ko,-8.33326598950127,1.0999818572891111
amplification,AnnSel,en,-9.830488559059988,0.44549656211133043
amplification,AnnSel,fr,-11.121588976499691,0.7672421101158137
amplification,AnnSel,de,-11.52974257884972,1.1347319576469943
amplification,AnnSel,es,-10.892327612863326,1.4023928566901436
amplification,AnnSel,zh,-8.973002908549784,0.7524937870893632
amplification,AnnSel,ja,-10.24669237012987,1.3806379655867274
amplification,AnnSel,ko,-8.362846831847973,1.139112714673079
feature-intervention,AnnSel,en,-10.712070964749538,0.5912087807528903
feature-intervention,AnnSel,fr,-13.25602195423624,0.9480944025564715
feature-intervention,AnnSel,de,-12.606756338899197,0.823873052799711
feature-intervention,AnnSel,es,-12.273152442795299,1.2215374531188057
feature-intervention,AnnSel,zh,-8.98739346590909,0.7480624669207113
feature-intervention,AnnSel,ja,-9.418952922077922,1.582328197810085
feature-intervention,AnnSel,ko,-9.921744962633491,1.9560270685524779
