Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.800625,2.2369094326715033
original,AnnSel,fr,-8.626875,4.417206719054887
original,AnnSel,de,-10.58125,4.638455549680695
original,AnnSel,es,-7.061875,3.43411213907061
original,AnnSel,zh,0.0,0.0
original,AnnSel,ja,-4.59375,3.7482161161051404
original,AnnSel,ko,-11.06375,3.362232444013316
distractor ablation,AnnSel,en,-3.800625,2.2369094326715033
distractor ablation,AnnSel,fr,-8.626875,4.417206719054887
distractor ablation,AnnSel,de,-10.58125,4.638455549680695
distractor ablation,AnnSel,es,-7.10875,3.3943703857499945
distractor ablation,AnnSel,zh,0.01125,0.07964369835001817
distractor ablation,AnnSel,ja,-5.294375,4.180236378927885
distractor ablation,AnnSel,ko,-11.06375,3.362232444013316
amplification,AnnSel,en,-3.408125,2.1366557750100594
amplification,AnnSel,fr,-1.936875,3.23584347611159
amplification,AnnSel,de,-1.336875,3.3450539088943083
amplification,AnnSel,es,-3.14,3.3018173944148708
amplification,AnnSel,zh,0.02,0.1201325026036592
amplification,AnnSel,ja,0.2434375,3.1282441967118495
amplification,AnnSel,ko,-10.440625,3.299286048706124
feature-intervention,AnnSel,en,-6.4628125,2.6809759570992413
feature-intervention,AnnSel,fr,-11.5571875,4.489714182424915
feature-intervention,AnnSel,de,-13.86375,4.731668007567563
feature-intervention,AnnSel,es,-9.7571875,3.3141012871339006
feature-intervention,AnnSel,zh,0.02,0.1201325026036592
feature-intervention,AnnSel,ja,-6.8190625,5.104832004796108
feature-intervention,AnnSel,ko,-14.45375,3.389752410061117
