Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.3734375,2.6206010783476987
original,AnnSel,fr,-8.063125,4.341279636896513
original,AnnSel,de,-9.0240625,4.4494363377801385
original,AnnSel,es,-7.92125,3.4624225094344543
original,AnnSel,zh,-5.57625,3.0019929722695147
original,AnnSel,ja,-6.4584375,2.8125072074823474
original,AnnSel,ko,0.0,0.0
distractor ablation,AnnSel,en,-3.3728125,2.6200058274414237
distractor ablation,AnnSel,fr,-8.063125,4.341279636896513
distractor ablation,AnnSel,de,-9.0215625,4.450903375472975
distractor ablation,AnnSel,es,-7.92125,3.4624225094344543
distractor ablation,AnnSel,zh,-5.434375,3.027472784599376
distractor ablation,AnnSel,ja,-6.435,2.868472497636498
distractor ablation,AnnSel,ko,0.0,0.0
amplification,AnnSel,en,-3.1853125,2.553199180147093
amplification,AnnSel,fr,-1.3540625,3.4555542154739154
amplification,AnnSel,de,0.7903125,2.7292147195341685
amplification,AnnSel,es,-4.548125,3.111065587182714
amplification,AnnSel,zh,-0.431875,3.388541331894086
amplification,AnnSel,ja,6.01015625,3.624143663411767
amplification,AnnSel,ko,0.0,0.0
