Experiment,Method,Run,mean,stdev
original,AnnSel,en,-1.824375,3.037664643561304
original,AnnSel,fr,-7.324375,5.252484794075557
original,AnnSel,de,-8.2509375,4.754059135423091
original,AnnSel,es,-6.5978125,4.254984114674231
original,AnnSel,zh,0.0,0.0
original,AnnSel,ja,-2.395625,2.9049012564930234
original,AnnSel,ko,-0.40375,3.5710061483587734
distractor ablation,AnnSel,en,-1.824375,3.0375087682252793
distractor ablation,AnnSel,fr,-7.324375,5.252484794075557
distractor ablation,AnnSel,de,-8.2534375,4.7524060538824475
distractor ablation,AnnSel,es,-6.5978125,4.254984114674231
distractor ablation,AnnSel,zh,0.0,0.0
distractor ablation,AnnSel,ja,-2.9653125,3.1478109847039706
distractor ablation,AnnSel,ko,-0.4475,3.569418012715091
amplification,AnnSel,en,-1.4225,3.045518524128212
amplification,AnnSel,fr,-2.6934375,3.3637599699702854
amplification,AnnSel,de,-0.039375,2.9015388936543465
amplification,AnnSel,es,-4.04625,3.728890183588493
amplification,AnnSel,zh,0.005625,0.033351084288705264
amplification,AnnSel,ja,1.669375,3.953119522793347
amplification,AnnSel,ko,0.439375,3.4143614613515405
feature-intervention,AnnSel,en,-8.23,2.9048071931791712
feature-intervention,AnnSel,fr,-13.3353125,4.4643824346936
feature-intervention,AnnSel,de,-14.695625,4.485022203234907
feature-intervention,AnnSel,es,-11.96875,3.4629538547679966
feature-intervention,AnnSel,zh,0.005625,0.033351084288705264
feature-intervention,AnnSel,ja,-6.54125,4.921867995425512
feature-intervention,AnnSel,ko,-8.8471875,3.854854809063285
