Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.160041743970314,0.9807889523838998
original,AnnSel,fr,-11.413091372912803,1.3206263500479232
original,AnnSel,de,-13.185057204700062,1.854173370628205
original,AnnSel,es,-11.764424860853433,1.281278781661905
original,AnnSel,zh,-10.76073795995671,2.0148233354792886
original,AnnSel,ja,-11.38889678030303,1.9454383325815008
original,AnnSel,ko,-9.424658754493008,1.0999722462149522
distractor ablation,AnnSel,en,-11.121478818800247,0.957178621048424
distractor ablation,AnnSel,fr,-11.517710265924551,1.3350937444524487
distractor ablation,AnnSel,de,-13.65518707482993,1.8337201558739298
distractor ablation,AnnSel,es,-12.261448670377243,1.367702852243931
distractor ablation,AnnSel,zh,-10.959195752164502,2.2066528060612156
distractor ablation,AnnSel,ja,-11.598023200757577,1.940320062240486
distractor ablation,AnnSel,ko,-9.271476006173954,1.0657569859947198
amplification,AnnSel,en,-10.838350340136055,0.9382120851423512
amplification,AnnSel,fr,-10.96839440321583,1.3616510282851104
amplification,AnnSel,de,-12.082266542980829,1.834697343584009
amplification,AnnSel,es,-10.744650587507731,1.2863631575515804
amplification,AnnSel,zh,-9.585759943181818,1.6121326520149872
amplification,AnnSel,ja,-10.734038487554113,1.1471844308176586
amplification,AnnSel,ko,-9.430142951345577,1.0901821698120082
feature-intervention,AnnSel,en,-11.466535250463822,1.0084865980489968
feature-intervention,AnnSel,fr,-10.956153370439084,1.3539909662258183
feature-intervention,AnnSel,de,-13.904027520098948,1.650094689773808
feature-intervention,AnnSel,es,-13.29376159554731,1.4966407280320662
feature-intervention,AnnSel,zh,-11.063134131493507,2.22009494152285
feature-intervention,AnnSel,ja,-11.274295691287879,1.5986931143018897
feature-intervention,AnnSel,ko,-10.118570886606594,1.7773266021858363
