Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.722646103896105,0.45705643067540985
original,AnnSel,fr,-12.825722789115646,1.58296170280191
original,AnnSel,de,-13.14974876314162,1.8529286643748677
original,AnnSel,es,-11.701692949907237,1.040768216229638
original,AnnSel,zh,-9.771272997835498,1.2960249497118903
original,AnnSel,ja,-10.361843885281386,1.0599337020774495
original,AnnSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,AnnSel,en,-9.712878787878788,0.45251481125360704
distractor ablation,AnnSel,fr,-13.2670609152752,1.481304992525476
distractor ablation,AnnSel,de,-13.412268089053802,1.8916139441196758
distractor ablation,AnnSel,es,-12.224470470006183,1.0409039998945149
distractor ablation,AnnSel,zh,-10.180346996753245,1.4915388117382784
distractor ablation,AnnSel,ja,-10.535149485930734,1.070633067243586
distractor ablation,AnnSel,ko,-9.82997539103532,1.667635913334312
amplification,AnnSel,en,-9.57305194805195,0.5204355771621108
amplification,AnnSel,fr,-12.21842918985776,1.6798461382447307
amplification,AnnSel,de,-12.707216295609154,2.0750526941760454
amplification,AnnSel,es,-11.17311765615337,1.0382983876787546
amplification,AnnSel,zh,-9.490674039502165,1.221515223275429
amplification,AnnSel,ja,-10.692011634199133,0.5169396226793636
amplification,AnnSel,ko,-9.967539666012888,1.5810450243682819
feature-intervention,AnnSel,en,-9.482861781076068,0.5212369799917329
feature-intervention,AnnSel,fr,-12.713906926406926,1.7776232109548378
feature-intervention,AnnSel,de,-12.963763914656772,1.9380644976668109
feature-intervention,AnnSel,es,-11.476781849103277,1.0603885191068472
feature-intervention,AnnSel,zh,-10.08388291396104,1.4563083861447803
feature-intervention,AnnSel,ja,-10.516291260822511,1.025644888197522
feature-intervention,AnnSel,ko,-9.757791325758818,1.6185470118783873
