Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.688566790352505,0.6263067145825824
original,AnnSel,fr,-11.865016233766235,0.8677269560391692
original,AnnSel,de,-12.064714749536178,1.3500573989647673
original,AnnSel,es,-11.023465522572666,0.8409725636472231
original,AnnSel,zh,-8.984070616883118,1.2391548283844434
original,AnnSel,ja,-9.858800054112553,0.996458133587591
original,AnnSel,ko,-9.94849232906053,2.637987369895687
distractor ablation,AnnSel,en,-9.759987631416204,0.6574187292286172
distractor ablation,AnnSel,fr,-12.391778756957327,0.8188103601328505
distractor ablation,AnnSel,de,-12.336893166357452,1.412584978582521
distractor ablation,AnnSel,es,-11.410756802721087,0.7966586188699063
distractor ablation,AnnSel,zh,-9.16320008116883,1.206697994922777
distractor ablation,AnnSel,ja,-10.104274891774892,0.8723056779796402
distractor ablation,AnnSel,ko,-10.206412042356005,2.854411835765617
amplification,AnnSel,en,-9.681470315398887,0.6418743292786678
amplification,AnnSel,fr,-11.260975185528755,0.7631555522086068
amplification,AnnSel,de,-11.464548546691404,1.5299340236709777
amplification,AnnSel,es,-10.344696969696969,0.8120950272213713
amplification,AnnSel,zh,-8.814918154761905,1.2159920966895066
amplification,AnnSel,ja,-11.44980891504329,1.1786883481908752
amplification,AnnSel,ko,-9.859328454282103,2.3150913325898355
feature-intervention,AnnSel,en,-12.187217841682127,1.0173138122578864
feature-intervention,AnnSel,fr,-14.893135435992578,1.3833453925471595
feature-intervention,AnnSel,de,-14.156930272108843,2.3748216252229226
feature-intervention,AnnSel,es,-14.004452690166975,1.732775546500937
feature-intervention,AnnSel,zh,-10.991155979437229,1.4437488741982574
feature-intervention,AnnSel,ja,-11.129376352813852,1.03835129533474
feature-intervention,AnnSel,ko,-13.742798039626008,3.6800220215750468
