Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.08148964131107,0.8070650329507352
original,AnnSel,fr,-12.72777133580705,1.7049896851973263
original,AnnSel,de,-13.630480828695115,1.8211112034880235
original,AnnSel,es,-10.167491883116883,0.7561768861882084
original,AnnSel,zh,-10.581464759199134,1.6659393726856222
original,AnnSel,ja,-10.775580018939394,1.084762781095641
original,AnnSel,ko,-10.257373243486848,1.8012197751036167
distractor ablation,AnnSel,en,-10.084655225726653,0.8085991687449386
distractor ablation,AnnSel,fr,-13.036765615337044,1.562393869216933
distractor ablation,AnnSel,de,-13.955098175633891,1.7250697375107316
distractor ablation,AnnSel,es,-10.700003865182437,0.7956920072847977
distractor ablation,AnnSel,zh,-10.83880800189394,1.781129259988655
distractor ablation,AnnSel,ja,-10.928558745941558,1.0901264617418809
distractor ablation,AnnSel,ko,-10.342746578611912,1.8411532938903168
amplification,AnnSel,en,-9.903981137909708,0.8357696037022718
amplification,AnnSel,fr,-11.907258812615956,1.900461636898735
amplification,AnnSel,de,-12.812128942486085,1.9605368027035266
amplification,AnnSel,es,-9.868436920222635,0.6104122575799223
amplification,AnnSel,zh,-10.262894007034632,1.628667864520365
amplification,AnnSel,ja,-10.686906452922077,0.5440934741836906
amplification,AnnSel,ko,-10.284520721435547,1.7798483576898945
feature-intervention,AnnSel,en,-9.754692331478045,0.8167313592771485
feature-intervention,AnnSel,fr,-12.375038651824367,1.8754243374881672
feature-intervention,AnnSel,de,-13.276886209029067,1.967103098838799
feature-intervention,AnnSel,es,-10.374219233147803,0.6917969525021584
feature-intervention,AnnSel,zh,-10.44038318452381,1.6729865671037667
feature-intervention,AnnSel,ja,-10.610303368506493,1.1641638002743202
feature-intervention,AnnSel,ko,-10.077512011274237,1.6700353386523692
